date,close,open,high,low,volume,涨跌幅
2014/9/22,8.99E+01,9.27E+01,9.30E+01,8.95E+01,66.66M,-4.26%
2014/9/23,8.72E+01,8.89E+01,9.05E+01,8.66E+01,39.01M,-3.03%
2014/9/24,9.06E+01,8.85E+01,9.06E+01,8.72E+01,32.09M,3.90%
2014/9/25,8.89E+01,9.11E+01,9.15E+01,8.85E+01,28.60M,-1.82%
2014/9/26,9.05E+01,8.97E+01,9.05E+01,8.87E+01,18.34M,1.73%
2014/9/29,8.88E+01,8.96E+01,8.97E+01,8.80E+01,25.30M,-1.89%
2014/9/30,8.89E+01,8.90E+01,9.09E+01,8.85E+01,24.42M,0.11%
2014/10/1,8.61E+01,8.87E+01,8.89E+01,8.60E+01,24.03M,-3.10%
2014/10/2,8.71E+01,8.63E+01,8.82E+01,8.56E+01,21.47M,1.11%
2014/10/3,8.81E+01,8.81E+01,8.99E+01,8.77E+01,18.49M,1.19%
2014/10/6,8.83E+01,8.92E+01,8.97E+01,8.81E+01,9.28M,0.24%
2014/10/7,8.77E+01,8.80E+01,8.97E+01,8.71E+01,12.79M,-0.72%
2014/10/8,8.83E+01,8.80E+01,8.85E+01,8.71E+01,10.26M,0.72%
2014/10/9,8.88E+01,8.85E+01,9.04E+01,8.80E+01,21.51M,0.55%
2014/10/10,8.59E+01,8.83E+01,8.87E+01,8.52E+01,15.43M,-3.28%
2014/10/13,8.51E+01,8.69E+01,8.69E+01,8.49E+01,14.85M,-0.88%
2014/10/14,8.50E+01,8.58E+01,8.59E+01,8.32E+01,15.57M,-0.20%
2014/10/15,8.56E+01,8.40E+01,8.65E+01,8.28E+01,16.82M,0.77%
2014/10/16,8.89E+01,8.50E+01,8.92E+01,8.40E+01,15.23M,3.80%
2014/10/17,8.79E+01,9.04E+01,9.09E+01,8.77E+01,17.36M,-1.06%
2014/10/20,8.83E+01,8.80E+01,8.95E+01,8.79E+01,9.89M,0.40%
2014/10/21,9.09E+01,8.91E+01,9.25E+01,8.85E+01,23.24M,2.99%
2014/10/22,9.16E+01,9.23E+01,9.35E+01,9.10E+01,20.36M,0.80%
2014/10/23,9.45E+01,9.29E+01,9.47E+01,9.28E+01,20.64M,3.08%
2014/10/24,9.58E+01,9.51E+01,9.80E+01,9.48E+01,32.13M,1.39%
2014/10/27,9.78E+01,9.70E+01,9.89E+01,9.63E+01,28.30M,2.12%
2014/10/28,9.97E+01,9.98E+01,1.01E+02,9.86E+01,32.13M,1.93%
2014/10/29,9.83E+01,9.99E+01,1.00E+02,9.68E+01,28.66M,-1.37%
2014/10/30,9.87E+01,9.85E+01,9.94E+01,9.73E+01,15.48M,0.43%
2014/10/31,9.86E+01,1.00E+02,1.00E+02,9.81E+01,18.13M,-0.13%
2014/11/3,1.02E+02,9.97E+01,1.03E+02,9.91E+01,41.30M,3.25%
2014/11/4,1.06E+02,1.00E+02,1.06E+02,9.95E+01,67.81M,4.19%
2014/11/5,1.09E+02,1.08E+02,1.10E+02,1.06E+02,48.34M,2.45%
2014/11/6,1.12E+02,1.09E+02,1.12E+02,1.07E+02,33.61M,2.67%
2014/11/7,1.15E+02,1.13E+02,1.15E+02,1.12E+02,51.46M,2.68%
2014/11/10,1.19E+02,1.17E+02,1.19E+02,1.15E+02,75.97M,4.01%
2014/11/11,1.15E+02,1.17E+02,1.18E+02,1.14E+02,71.15M,-3.87%
2014/11/12,1.18E+02,1.15E+02,1.19E+02,1.14E+02,53.91M,3.20%
2014/11/13,1.15E+02,1.19E+02,1.20E+02,1.15E+02,62.16M,-2.84%
2014/11/14,1.15E+02,1.15E+02,1.15E+02,1.13E+02,29.85M,0.23%
2014/11/17,1.14E+02,1.15E+02,1.16E+02,1.13E+02,22.57M,-0.74%
2014/11/18,1.11E+02,1.14E+02,1.14E+02,1.10E+02,41.10M,-3.01%
