date,close,open,high,low,volume,涨跌幅
1992/1/2,7.79E+00,7.29E+00,7.79E+00,7.29E+00,4.32M,10.03%
1992/1/3,7.96E+00,7.92E+00,8.21E+00,7.83E+00,4.54M,2.18%
1992/1/6,8.25E+00,7.92E+00,8.33E+00,7.88E+00,3.02M,3.64%
1992/1/7,8.38E+00,8.08E+00,8.54E+00,8.08E+00,3.71M,1.58%
1992/1/8,8.75E+00,8.25E+00,8.83E+00,8.25E+00,4.96M,4.42%
1992/1/9,9.17E+00,8.75E+00,9.29E+00,8.75E+00,6.05M,4.80%
1992/1/10,9.00E+00,9.17E+00,9.33E+00,8.79E+00,9.60M,-1.85%
1992/1/13,9.00E+00,8.83E+00,9.13E+00,8.83E+00,3.03M,0.00%
1992/1/14,9.46E+00,8.96E+00,9.50E+00,8.96E+00,3.66M,5.11%
1992/1/15,1.00E+01,9.50E+00,1.02E+01,9.46E+00,8.03M,6.13%
1992/1/16,9.92E+00,9.92E+00,1.00E+01,9.71E+00,5.60M,-1.20%
1992/1/17,9.54E+00,9.83E+00,9.83E+00,9.42E+00,3.27M,-3.83%
1992/1/20,9.33E+00,9.29E+00,9.33E+00,9.21E+00,2.59M,-2.20%
1992/1/21,9.29E+00,9.29E+00,9.29E+00,9.08E+00,4.14M,-0.43%
1992/1/22,9.21E+00,9.13E+00,9.25E+00,9.13E+00,32.74M,-0.86%
1992/1/23,9.25E+00,9.21E+00,9.29E+00,9.17E+00,11.32M,0.43%
1992/1/24,9.42E+00,9.21E+00,9.46E+00,9.21E+00,8.69M,1.84%
1992/1/27,9.54E+00,9.46E+00,9.63E+00,9.46E+00,7.05M,1.27%
1992/1/28,9.58E+00,9.58E+00,9.63E+00,9.54E+00,5.91M,0.42%
1992/1/29,9.21E+00,9.54E+00,9.63E+00,9.21E+00,7.38M,-3.86%
1992/1/30,9.42E+00,9.25E+00,9.46E+00,9.25E+00,2.98M,2.28%
1992/1/31,9.33E+00,9.46E+00,9.54E+00,9.33E+00,3.48M,-0.96%
1992/2/3,9.42E+00,9.33E+00,9.46E+00,9.29E+00,2.77M,0.96%
1992/2/4,9.67E+00,9.46E+00,9.79E+00,9.46E+00,5.49M,2.65%
1992/2/5,9.88E+00,9.79E+00,1.00E+01,9.75E+00,5.14M,2.17%
1992/2/6,1.02E+01,9.83E+00,1.03E+01,9.83E+00,5.05M,2.94%
1992/2/7,1.03E+01,1.03E+01,1.04E+01,9.92E+00,5.87M,0.79%
1992/2/10,1.07E+01,1.03E+01,1.08E+01,1.03E+01,7.36M,4.49%
1992/2/11,1.05E+01,1.07E+01,1.11E+01,1.05E+01,9.26M,-1.59%
1992/2/12,1.09E+01,1.05E+01,1.10E+01,1.05E+01,5.77M,3.23%
1992/2/13,1.08E+01,1.08E+01,1.09E+01,1.07E+01,4.78M,-0.46%
1992/2/14,1.08E+01,1.07E+01,1.10E+01,1.06E+01,3.20M,-0.37%
1992/2/18,1.08E+01,1.08E+01,1.10E+01,1.08E+01,4.69M,-0.37%
1992/2/19,1.05E+01,1.07E+01,1.08E+01,1.05E+01,4.29M,-1.95%
1992/2/20,1.08E+01,1.06E+01,1.08E+01,1.06E+01,3.01M,2.75%
1992/2/21,1.12E+01,1.09E+01,1.13E+01,1.09E+01,5.33M,3.14%
1992/2/24,1.13E+01,1.12E+01,1.13E+01,1.11E+01,4.58M,1.07%
1992/2/25,1.10E+01,1.13E+01,1.13E+01,1.10E+01,4.04M,-2.57%
1992/2/26,1.10E+01,1.10E+01,1.11E+01,1.08E+01,4.65M,0.36%
1992/2/27,1.13E+01,1.11E+01,1.14E+01,1.10E+01,3.43M,1.90%
1992/2/28,1.12E+01,1.13E+01,1.13E+01,1.12E+01,3.00M,-0.36%
1992/3/2,1.11E+01,1.12E+01,1.13E+01,1.10E+01,4.32M,-1.16%
1992/3/3,1.11E+01,1.11E+01,1.12E+01,1.10E+01,2.36M,0.00%
1992/3/4,1.09E+01,1.12E+01,1.12E+01,1.08E+01,3.68M,-1.81%
1992/3/5,1.05E+01,1.09E+01,1.09E+01,1.02E+01,6.11M,-3.49%
1992/3/6,1.04E+01,1.05E+01,1.05E+01,1.01E+01,4.41M,-1.14%
1992/3/9,1.09E+01,1.05E+01,1.09E+01,1.05E+01,2.29M,4.82%
1992/3/10,1.08E+01,1.10E+01,1.10E+01,1.08E+01,3.10M,-0.83%
1992/3/11,1.07E+01,1.07E+01,1.09E+01,1.05E+01,2.34M,-1.11%
