date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
2001-02-09,sh.600033,1.5259903400,1.5955115400,1.4773255000,1.5381565500,1.1575279800,105687770,928934639.0000,2,52.843885,1,32.882890,106.702791,7.820704,31.962144,74.305850
2001-02-12,sh.600033,1.5294664000,1.5312044300,1.4947058000,1.5138241300,1.5381565500,15577140,135397954.0000,2,7.788570,1,-1.581925,105.014837,7.696986,31.456528,73.130390
2001-02-13,sh.600033,1.5138241300,1.5190382200,1.4842776200,1.4929677700,1.5138241300,12615324,108744130.0000,2,6.307662,1,-1.377725,103.568020,7.590943,31.023143,72.122853
2001-02-14,sh.600033,1.4981818600,1.5346804900,1.4981818600,1.5242523100,1.4929677700,11608050,101625288.0000,2,5.804025,1,2.095463,105.738246,7.750008,31.673221,73.634158
2001-02-15,sh.600033,1.5259903400,1.5329424600,1.4947058000,1.5068720100,1.5242523100,5207869,45355321.0000,2,2.603934,1,-1.140255,104.532565,7.661638,31.312066,72.794544
2001-02-16,sh.600033,1.4947058000,1.5086100400,1.4738494400,1.4999198900,1.5068720100,7621601,65102683.0000,2,3.810801,1,-0.461361,104.050292,7.626291,31.167605,72.458699
2001-02-19,sh.600033,1.4999198900,1.5120861000,1.4825395900,1.5051339800,1.4999198900,3078492,26553889.0000,2,1.539246,1,0.347622,104.411997,7.652801,31.275951,72.710583
2001-02-20,sh.600033,1.4947058000,1.5120861000,1.4773255000,1.4825395900,1.5051339800,6610084,56647689.0000,2,3.305042,1,-1.501156,102.844611,7.537921,30.806451,71.619085
2001-02-21,sh.600033,1.4773255000,1.4773255000,1.4217085400,1.4269226300,1.4825395900,8316279,69091773.0000,2,4.158139,1,-3.751462,98.986431,7.255139,29.650757,68.932319
2001-02-22,sh.600033,1.4338747500,1.4547311100,1.4251846000,1.4338747500,1.4269226300,3505139,29017738.0000,2,1.752570,1,0.487210,99.468703,7.290486,29.795219,69.268165
2001-02-23,sh.600033,1.4356127800,1.4582071700,1.4234465700,1.4564691400,1.4338747500,3938193,32576709.0000,2,1.969097,1,1.575759,101.036089,7.405367,30.264719,70.359663
2001-02-26,sh.600033,1.4512550500,1.4773255000,1.4477789900,1.4755874700,1.4564691400,3176021,26805061.0000,2,1.588010,1,1.312645,102.362338,7.502573,30.661989,71.283239
2001-02-27,sh.600033,1.4773255000,1.4842776200,1.4599452000,1.4738494400,1.4755874700,3103053,26305784.0000,2,1.551527,1,-0.117788,102.241770,7.493736,30.625874,71.199277
2001-02-28,sh.600033,1.4912297400,1.5086100400,1.4738494400,1.4773255000,1.4738494400,2462300,21020908.0000,2,1.231150,1,0.235854,102.482907,7.511410,30.698104,71.367200
2001-03-01,sh.600033,1.4773255000,1.4894917100,1.4668973200,1.4825395900,1.4773255000,3282572,27903396.0000,2,1.641286,1,0.352938,102.844611,7.537921,30.806451,71.619085
2001-03-02,sh.600033,1.4825395900,1.5016579200,1.4808015600,1.4842776200,1.4825395900,2902913,24884104.0000,2,1.451456,1,0.117236,102.965179,7.546758,30.842566,71.703046
