date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
2018-06-11,sz.300750,30.0671203000,36.0765580000,30.0671203000,36.0765580000,25.0542726000,78829,2845471.8000,2,0.036286,1,43.993640,18.276180,3.128442,3.533828,21.728055
2018-06-12,sz.300750,39.6842138000,39.6842138000,39.6842138000,39.6842138000,36.0765580000,26579,1058375.7800,2,0.012235,1,9.999997,20.103798,3.441286,3.887211,23.900860
2018-06-13,sz.300750,43.6506420000,43.6506420000,43.6506420000,43.6506420000,39.6842138000,45030,1972314.0000,2,0.020728,1,9.994976,22.113168,3.785242,4.275737,26.289746
2018-06-14,sz.300750,48.0157062000,48.0157062000,48.0157062000,48.0157062000,43.6506420000,74267,3578184.0600,2,0.034186,1,10.000000,24.324485,4.163766,4.703310,28.918720
2018-06-15,sz.300750,52.8192700000,52.8192700000,52.8192700000,52.8192700000,48.0157062000,256510,13595030.0000,2,0.118075,1,10.004150,26.757943,4.580316,5.173837,31.811793
2018-06-19,sz.300750,58.1011970000,58.1011970000,58.1011970000,58.1011970000,52.8192700000,1117428,65146052.4000,2,0.514366,1,9.999999,29.433738,5.038347,5.691220,34.992972
2018-06-20,sz.300750,63.9113167000,63.9113167000,63.9113167000,63.9113167000,58.1011970000,1310382,84034797.6600,2,0.603185,1,9.999996,32.377111,5.542182,6.260342,38.492269
2018-06-21,sz.300750,70.2994586000,70.2994586000,70.2994586000,70.2994586000,63.9113167000,1231660,86881296.4000,2,0.566948,1,9.995328,35.613308,6.096141,6.886084,42.339696
2018-06-22,sz.300750,71.7544800000,72.4620589000,63.2734991000,66.3230645000,70.2994586000,128170599,8599728955.5200,2,58.998525,1,-5.656362,33.598889,5.751321,6.496582,39.944808
2018-06-25,sz.300750,67.9674380000,71.3558440000,66.9907798000,68.9540621000,66.3230645000,69981999,4868406844.0200,2,32.213587,1,3.966941,34.931738,5.979473,6.754297,41.529395
2018-06-26,sz.300750,67.6584951000,75.2923745000,66.8711890000,73.9270462000,68.9540621000,62553547,4537098812.2500,2,28.794178,1,7.212021,37.451023,6.410714,7.241419,44.524505
2018-06-27,sz.300750,73.9569439000,74.6744887000,71.5252643000,73.8373531000,73.9270462000,44138862,3241043472.7300,2,20.317669,1,-0.121332,37.405585,6.402936,7.232633,44.470485
2018-06-28,sz.300750,73.0500470000,75.1329201000,67.2100296000,67.9774039000,73.8373531000,53080981,3770134240.6900,2,24.433838,1,-7.936291,34.436968,5.894780,6.658630,40.941177
2018-06-29,sz.300750,68.4458012000,74.0466370000,67.5389043000,71.7146164000,67.9774039000,45698575,3231958793.3500,2,21.035624,1,5.497727,36.330219,6.218859,7.024703,43.192011
2018-07-02,sz.300750,70.5486061000,71.2362532000,68.8743349000,69.7613000000,71.7146164000,32470182,2278646004.6800,2,14.946430,1,-2.723734,35.340680,6.049474,6.833369,42.015575
2018-07-03,sz.300750,69.9606180000,70.9472421000,65.6254515000,69.0537211000,69.7613000000,33910064,2337186967.5600,2,15.609225,1,-1.014284,34.982224,5.988115,6.764059,41.589417
2018-07-04,sz.300750,67.9176085000,67.9176085000,65.2766450000,65.6952128000,69.0537211000,26282197,1749919477.5500,2,12.098023,1,-4.863621,33.280823,5.696876,6.435081,39.566668
2018-07-05,sz.300750,64.7783500000,71.6348892000,64.6587592000,68.5753579000,65.6952128000,34337783,2343510066.9600,2,15.806110,1,4.384101,34.739888,5.946633,6.717202,41.301311
2018-07-06,sz.300750,68.5753579000,74.2459550000,68.4657330000,70.6382992000,68.5753579000,49213427,3511358606.6200,2,22.653554,1,3.008283,35.784963,6.125524,6.919274,42.543771
2018-07-09,sz.300750,70.5585720000,71.3259463000,68.8743349000,71.3060145000,70.6382992000,31068979,2183986505.8800,2,14.301439,1,0.945268,36.123223,6.183426,6.984679,42.945920
2018-07-10,sz.300750,74.7442500000,75.6312151000,71.4156394000,72.1531160000,71.3060145000,36484401,2666043239.8500,2,16.794225,1,1.187978,36.552360,6.256884,7.067656,43.456109
2018-07-11,sz.300750,69.7613000000,78.6708146000,69.3427322000,76.7972254000,72.1531160000,49120805,3695050773.7400,2,22.610919,1,6.436458,38.905040,6.659606,7.522563,46.253146
2018-07-12,sz.300750,75.7707377000,84.4809343000,75.3422040000,84.4809343000,76.7972254000,43085212,3430182907.1400,2,19.832660,1,10.005190,42.797563,7.325913,8.275210,50.880862
2018-07-13,sz.300750,81.7203800000,88.1683173000,80.7536877000,82.4179930000,84.4809343000,48202055,4049051405.3000,2,22.188007,1,-2.441901,41.752489,7.147021,8.073137,49.638401
2018-07-16,sz.300750,82.4179930000,84.4610025000,79.8268590000,83.6139010000,82.4179930000,29515196,2439742028.8000,2,13.586213,1,1.451033,42.358329,7.250726,8.190281,50.358668
2018-07-17,sz.300750,82.8265949000,83.8829803000,79.3883594000,81.9994252000,83.6139010000,28615349,2336837084.7800,2,13.172002,1,-1.930873,41.540445,7.110724,8.032137,49.386308
2018-07-18,sz.300750,81.9994252000,84.0822983000,79.8368249000,81.9994252000,81.9994252000,27113839,2233771784.9600,2,12.480838,1,0.000000,41.540445,7.110724,8.032137,49.386308
2018-07-19,sz.300750,81.7203800000,84.8596385000,80.3949153000,82.6073451000,81.9994252000,25074483,2089886953.7600,2,11.542097,1,0.741372,41.848414,7.163441,8.091685,49.752443
2018-07-20,sz.300750,82.2186750000,90.8690762000,81.7303459000,90.6199287000,82.6073451000,42695635,3750334637.7700,2,19.653333,1,9.699603,45.907543,7.858266,8.876546,54.578232
2018-07-23,sz.300750,88.6965100000,90.2312586000,87.2514545000,88.3178058000,90.6199287000,25014352,2223986140.5700,2,11.514418,1,-2.540413,44.741301,7.658634,8.651045,53.191718
2018-07-24,sz.300750,88.1982150000,92.6430064000,87.2016250000,91.4570643000,88.3178058000,26501025,2395962685.5600,2,12.198752,1,3.554495,46.331631,7.930860,8.958547,55.082419
2018-07-25,sz.300750,90.6896900000,94.7557772000,82.3083681000,82.3083681000,91.4570643000,45719348,4027958763.7200,2,21.045186,1,-10.003270,41.696954,7.137515,8.062399,49.572377
2018-07-26,sz.300750,80.2254950000,82.3183340000,76.3387940000,77.9333380000,82.3083681000,39286999,3115796617.3700,2,18.084296,1,-5.315413,39.480588,6.758126,7.633849,46.937400
2018-07-27,sz.300750,77.7340200000,78.3718376000,75.4119653000,75.7906695000,77.9333380000,22809584,1748397062.2800,2,10.499536,1,-2.749353,38.395124,6.572321,7.423967,45.646922
2018-07-30,sz.300750,76.2391350000,77.0762706000,74.7442500000,76.5879415000,75.7906695000,18041846,1377263289.2600,2,8.304887,1,1.051933,38.799018,6.641458,7.502063,46.127100
2018-07-31,sz.300750,76.5181802000,76.5281461000,70.2695609000,71.9737298000,76.5879415000,28128307,2055880224.9800,2,12.947811,1,-6.024720,36.461484,6.241329,7.050084,43.348069
2018-08-01,sz.300750,71.7544800000,73.3789217000,70.7778218000,71.1764578000,71.9737298000,17933649,1298707855.0100,2,8.255082,1,-1.107731,36.057591,6.172192,6.971989,42.867891
2018-08-02,sz.300750,70.1599360000,73.0400811000,69.8111295000,72.3125704000,71.1764578000,19853529,1429095207.7600,2,9.138827,1,1.596191,36.633139,6.270712,7.083275,43.552145
2018-08-03,sz.300750,71.5152984000,72.8905926000,68.4258694000,69.3626640000,72.3125704000,17288867,1223071469.5100,2,7.958281,1,-4.079381,35.138733,6.014905,6.794321,41.775486
2018-08-06,sz.300750,68.7647100000,70.8376172000,67.3694840000,69.4124935000,69.3626640000,15706945,1096989857.8300,2,7.230103,1,0.071843,35.163976,6.019226,6.799202,41.805497
2018-08-07,sz.300750,70.2396632000,74.2060914000,69.7613000000,73.5383761000,69.4124935000,19964947,1445537173.0500,2,9.190114,1,5.944005,37.254125,6.377010,7.203347,44.290419
2018-08-08,sz.300750,73.2493650000,73.3290922000,70.8675149000,71.2761168000,73.5383761000,14770817,1067594665.9000,2,6.799191,1,-3.076303,36.108077,6.180834,6.981751,42.927914
2018-08-09,sz.300750,71.1565260000,75.4019994000,70.0602770000,73.8074554000,71.2761168000,18474864,1364797399.7900,2,8.504210,1,3.551455,37.390439,6.400343,7.229704,44.452479
2018-08-10,sz.300750,73.3490240000,74.2359891000,72.7710018000,74.1861596000,73.8074554000,11673860,862092551.3000,2,5.373623,1,0.513104,37.582289,6.433183,7.266800,44.680563
2018-08-13,sz.300750,72.7510700000,73.9370121000,71.7843777000,73.7576259000,74.1861596000,10949557,800760025.7600,2,5.040218,1,-0.577647,37.365196,6.396022,7.224823,44.422468
2018-08-14,sz.300750,73.5483420000,73.6380351000,71.1963896000,71.3259463000,73.7576259000,11735618,847545777.6500,2,5.402051,1,-3.296855,36.133321,6.185155,6.986632,42.957925
2018-08-15,sz.300750,70.7379582000,71.7843777000,68.7647100000,68.8743349000,71.3259463000,12916705,905177224.1000,2,5.945720,1,-3.437193,34.891348,5.972559,6.746488,41.481377
2018-08-16,sz.300750,67.7681200000,69.6417092000,65.9842239000,68.7547441000,68.8743349000,10715293,733358634.7300,2,4.932383,1,-0.173640,34.830764,5.962189,6.734773,41.409351
