date,close,open,high,low,交易量,涨跌幅
2021/2/8,5.32E+00,4.97E+00,5.34E+00,4.83E+00,18.63M,7.25%
2021/2/9,5.09E+00,5.34E+00,5.34E+00,4.91E+00,16.16M,-4.33%
2021/2/10,4.90E+00,5.08E+00,5.37E+00,4.80E+00,18.11M,-3.70%
2021/2/11,5.63E+00,4.90E+00,5.68E+00,4.74E+00,20.24M,14.83%
2021/2/12,5.25E+00,5.64E+00,5.64E+00,5.25E+00,19.89M,-6.67%
2021/2/13,5.71E+00,5.27E+00,5.96E+00,5.22E+00,24.19M,8.70%
2021/2/14,5.24E+00,5.74E+00,6.20E+00,5.24E+00,19.89M,-8.23%
2021/2/15,4.95E+00,5.30E+00,5.47E+00,4.35E+00,26.66M,-5.58%
2021/2/16,4.75E+00,4.96E+00,5.10E+00,4.73E+00,14.80M,-3.93%
2021/2/17,4.83E+00,4.77E+00,4.95E+00,4.54E+00,14.64M,1.51%
2021/2/18,4.77E+00,4.85E+00,5.12E+00,4.77E+00,12.02M,-1.22%
2021/2/19,4.61E+00,4.81E+00,4.81E+00,4.58E+00,12.80M,-3.29%
2021/2/20,5.16E+00,4.62E+00,5.70E+00,4.62E+00,34.03M,12.04%
2021/2/21,5.05E+00,5.12E+00,5.32E+00,5.02E+00,15.67M,-2.24%
2021/2/22,4.54E+00,5.06E+00,5.06E+00,4.41E+00,19.02M,-10.06%
2021/2/23,3.66E+00,4.54E+00,4.54E+00,3.28E+00,24.53M,-19.38%
2021/2/24,3.64E+00,3.68E+00,4.09E+00,3.57E+00,16.53M,-0.57%
2021/2/25,3.89E+00,3.65E+00,4.36E+00,3.58E+00,33.33M,6.73%
2021/2/26,4.52E+00,3.92E+00,4.86E+00,3.92E+00,48.88M,16.39%
2021/2/27,4.16E+00,4.50E+00,4.63E+00,4.16E+00,18.10M,-7.98%
2021/2/28,3.84E+00,4.12E+00,4.12E+00,3.60E+00,18.13M,-7.82%
2021/3/1,4.12E+00,3.86E+00,4.14E+00,3.79E+00,13.46M,7.41%
2021/3/2,4.00E+00,4.12E+00,4.31E+00,3.86E+00,14.64M,-2.87%
2021/3/3,4.07E+00,4.01E+00,4.24E+00,4.01E+00,11.38M,1.68%
2021/3/4,3.84E+00,4.05E+00,4.18E+00,3.82E+00,10.47M,-5.71%
2021/3/5,3.74E+00,3.83E+00,3.83E+00,3.59E+00,9.67M,-2.56%
2021/3/6,3.86E+00,3.74E+00,3.86E+00,3.67E+00,6.06M,3.30%
2021/3/7,3.98E+00,3.88E+00,4.02E+00,3.81E+00,13.31M,3.17%
2021/3/8,4.32E+00,4.00E+00,4.42E+00,3.89E+00,17.30M,8.46%
2021/3/9,4.43E+00,4.34E+00,4.52E+00,4.23E+00,14.32M,2.55%
2021/3/10,4.00E+00,4.45E+00,4.48E+00,4.00E+00,15.20M,-9.67%
2021/3/11,4.00E+00,4.02E+00,4.11E+00,3.90E+00,11.03M,-0.12%
2021/3/12,3.80E+00,4.01E+00,4.04E+00,3.73E+00,12.21M,-4.84%
2021/3/13,4.11E+00,3.81E+00,4.14E+00,3.70E+00,11.56M,7.94%
2021/3/14,3.85E+00,4.12E+00,4.13E+00,3.85E+00,9.38M,-6.37%
2021/3/15,3.94E+00,3.85E+00,4.22E+00,3.85E+00,17.30M,2.51%
2021/3/16,4.55E+00,3.93E+00,4.55E+00,3.90E+00,19.59M,15.42%
2021/3/17,5.00E+00,4.57E+00,5.00E+00,4.38E+00,19.68M,9.91%
2021/3/18,4.57E+00,5.02E+00,5.08E+00,4.57E+00,12.01M,-8.69%
2021/3/19,4.90E+00,4.58E+00,5.11E+00,4.58E+00,13.86M,7.23%
2021/3/20,4.71E+00,4.90E+00,5.15E+00,4.71E+00,7.76M,-3.88%
2021/3/21,4.67E+00,4.71E+00,4.79E+00,4.58E+00,6.88M,-0.67%
2021/3/22,4.30E+00,4.68E+00,4.77E+00,4.30E+00,9.86M,-8.01%
2021/3/23,4.08E+00,4.32E+00,4.36E+00,4.06E+00,10.18M,-5.12%
2021/3/24,3.72E+00,4.07E+00,4.32E+00,3.72E+00,9.76M,-8.70%
2021/3/25,3.67E+00,3.71E+00,3.83E+00,3.66E+00,7.92M,-1.58%
2021/3/26,4.00E+00,3.67E+00,4.00E+00,3.67E+00,5.70M,9.21%
2021/3/27,4.00E+00,4.01E+00,4.03E+00,3.87E+00,6.02M,-0.15%
2021/3/28,4.08E+00,4.02E+00,4.19E+00,3.95E+00,5.94M,2.16%
