date,close,open,high,low,交易量,涨跌幅
2017/12/31,7.10E-01,5.90E-01,7.40E-01,5.90E-01,17.22M,20.34%
2018/1/1,7.02E-01,7.10E-01,7.15E-01,6.32E-01,17.95M,-1.10%
2018/1/2,7.62E-01,7.02E-01,8.00E-01,6.75E-01,10.97M,8.52%
2018/1/3,1.08E+00,9.78E-01,1.09E+00,8.88E-01,20.23M,41.73%
2018/1/4,1.10E+00,1.10E+00,1.35E+00,1.05E+00,19.60M,2.25%
2018/1/5,9.95E-01,1.18E+00,1.30E+00,9.07E-01,18.53M,-9.91%
2018/1/6,1.04E+00,1.01E+00,1.08E+00,9.23E-01,9.12M,4.11%
2018/1/7,1.01E+00,1.02E+00,1.05E+00,9.80E-01,4.81M,-2.88%
2018/1/8,9.00E-01,1.01E+00,1.01E+00,7.52E-01,10.97M,-10.54%
2018/1/9,8.10E-01,9.00E-01,9.29E-01,7.73E-01,7.89M,-10.00%
2018/1/10,7.77E-01,8.10E-01,8.29E-01,6.56E-01,12.11M,-4.14%
2018/1/11,6.78E-01,7.83E-01,7.83E-01,5.23E-01,17.30M,-12.69%
2018/1/12,8.90E-01,6.79E-01,9.22E-01,6.31E-01,13.17M,31.27%
2018/1/13,8.79E-01,8.98E-01,9.58E-01,8.33E-01,9.33M,-1.24%
2018/1/14,8.00E-01,8.79E-01,8.79E-01,7.29E-01,9.25M,-8.99%
2018/1/15,7.71E-01,8.00E-01,8.67E-01,7.67E-01,6.27M,-3.62%
2018/1/16,6.01E-01,7.72E-01,7.86E-01,4.50E-01,31.97M,-22.02%
2018/1/17,6.24E-01,6.00E-01,6.84E-01,4.35E-01,36.73M,3.82%
2018/1/18,6.50E-01,6.26E-01,6.99E-01,5.82E-01,17.86M,4.13%
2018/1/19,6.46E-01,6.50E-01,6.91E-01,5.90E-01,14.52M,-0.65%
2018/1/20,7.05E-01,6.48E-01,7.20E-01,6.40E-01,7.22M,9.14%
2018/1/21,6.16E-01,7.05E-01,7.05E-01,5.80E-01,10.41M,-12.54%
2018/1/22,5.67E-01,6.16E-01,6.40E-01,5.15E-01,10.80M,-7.94%
2018/1/23,5.60E-01,5.68E-01,5.90E-01,5.17E-01,8.77M,-1.35%
2018/1/24,6.29E-01,5.62E-01,6.49E-01,5.37E-01,8.79M,12.36%
2018/1/25,6.42E-01,6.28E-01,6.84E-01,6.20E-01,7.76M,2.07%
2018/1/26,6.27E-01,6.42E-01,6.55E-01,5.61E-01,18.15M,-2.37%
2018/1/27,6.21E-01,6.27E-01,6.42E-01,5.95E-01,5.54M,-0.87%
2018/1/28,6.42E-01,6.21E-01,6.67E-01,6.13E-01,6.47M,3.37%
2018/1/29,6.02E-01,6.42E-01,6.46E-01,5.88E-01,5.84M,-6.27%
