date,close,open,high,low,交易量,涨跌幅
2018/1/18,1.69E+03,1.71E+03,1.85E+03,1.64E+03,35.22K,-1.02%
2018/1/19,1.76E+03,1.69E+03,1.85E+03,1.67E+03,19.84K,4.43%
2018/1/20,2.03E+03,1.76E+03,2.12E+03,1.76E+03,21.38K,14.83%
2018/1/21,1.77E+03,2.03E+03,2.03E+03,1.70E+03,21.52K,-12.59%
2018/1/22,1.61E+03,1.77E+03,1.80E+03,1.51E+03,20.75K,-9.33%
2018/1/23,1.61E+03,1.61E+03,1.69E+03,1.50E+03,13.32K,0.60%
2018/1/24,1.65E+03,1.61E+03,1.68E+03,1.53E+03,17.93K,2.23%
2018/1/25,1.64E+03,1.65E+03,1.71E+03,1.61E+03,15.57K,-0.62%
2018/1/26,1.60E+03,1.64E+03,1.68E+03,1.49E+03,13.97K,-2.59%
2018/1/27,1.63E+03,1.60E+03,1.67E+03,1.56E+03,11.60K,2.16%
2018/1/28,1.76E+03,1.63E+03,1.79E+03,1.63E+03,13.81K,7.94%
2018/1/29,1.66E+03,1.76E+03,1.78E+03,1.64E+03,11.18K,-5.88%
2018/1/30,1.48E+03,1.66E+03,1.66E+03,1.47E+03,10.74K,-10.78%
2018/1/31,1.50E+03,1.48E+03,1.53E+03,1.40E+03,16.30K,1.15%
2018/2/1,1.29E+03,1.50E+03,1.51E+03,1.23E+03,20.44K,-13.96%
2018/2/2,1.20E+03,1.29E+03,1.30E+03,1.01E+03,27.28K,-6.82%
2018/2/3,1.27E+03,1.20E+03,1.31E+03,1.07E+03,8.96K,5.98%
2018/2/4,1.16E+03,1.27E+03,1.29E+03,1.11E+03,11.39K,-9.06%
2018/2/5,8.79E+02,1.16E+03,1.18E+03,7.63E+02,26.58K,-24.02%
2018/2/6,9.64E+02,8.79E+02,9.76E+02,7.67E+02,37.61K,9.68%
2018/2/7,9.53E+02,9.64E+02,1.03E+03,8.93E+02,27.19K,-1.15%
2018/2/8,1.29E+03,9.53E+02,1.35E+03,9.47E+02,39.26K,34.93%
2018/2/9,1.30E+03,1.29E+03,1.34E+03,1.19E+03,17.21K,1.23%
2018/2/10,1.24E+03,1.30E+03,1.38E+03,1.19E+03,13.50K,-4.80%
2018/2/11,1.21E+03,1.24E+03,1.30E+03,1.18E+03,12.90K,-2.38%
2018/2/12,1.28E+03,1.21E+03,1.29E+03,1.21E+03,9.35K,5.79%
2018/2/13,1.22E+03,1.28E+03,1.28E+03,1.20E+03,10.00K,-4.42%
2018/2/14,1.35E+03,1.22E+03,1.38E+03,1.22E+03,15.88K,10.77%
2018/2/15,1.36E+03,1.35E+03,1.39E+03,1.30E+03,12.98K,0.17%
2018/2/16,1.53E+03,1.35E+03,1.55E+03,1.35E+03,23.09K,12.57%
2018/2/17,1.54E+03,1.53E+03,1.55E+03,1.50E+03,12.32K,0.63%
2018/2/18,1.45E+03,1.54E+03,1.63E+03,1.39E+03,20.62K,-5.67%
2018/2/19,1.52E+03,1.45E+03,1.54E+03,1.45E+03,9.99K,4.59%
2018/2/20,1.39E+03,1.52E+03,1.56E+03,1.38E+03,12.09K,-8.20%
2018/2/21,1.28E+03,1.39E+03,1.41E+03,1.26E+03,14.51K,-8.09%
2018/2/22,1.20E+03,1.28E+03,1.34E+03,1.17E+03,14.48K,-5.89%
2018/2/23,1.25E+03,1.20E+03,1.31E+03,1.14E+03,15.49K,4.19%
2018/2/24,1.18E+03,1.25E+03,1.30E+03,1.13E+03,13.11K,-6.07%
2018/2/25,1.17E+03,1.18E+03,1.20E+03,1.13E+03,7.68K,-0.94%
2018/2/26,1.24E+03,1.17E+03,1.27E+03,1.13E+03,9.61K,6.40%
2018/2/27,1.23E+03,1.24E+03,1.29E+03,1.21E+03,11.59K,-0.75%
2018/2/28,1.20E+03,1.23E+03,1.28E+03,1.20E+03,16.23K,-2.72%
2018/3/1,1.28E+03,1.20E+03,1.30E+03,1.19E+03,21.86K,7.02%
2018/3/2,1.27E+03,1.28E+03,1.31E+03,1.25E+03,17.51K,-1.13%
2018/3/3,1.27E+03,1.27E+03,1.30E+03,1.26E+03,19.84K,-0.12%
2018/3/4,1.29E+03,1.27E+03,1.29E+03,1.22E+03,20.35K,1.58%
2018/3/5,1.26E+03,1.28E+03,1.29E+03,1.26E+03,18.82K,-2.04%
2018/3/6,1.20E+03,1.26E+03,1.26E+03,1.17E+03,22.52K,-4.63%
2018/3/7,1.08E+03,1.20E+03,1.22E+03,1.03E+03,22.70K,-9.84%
2018/3/8,1.03E+03,1.09E+03,1.11E+03,9.95E+02,26.44K,-5.03%
2018/3/9,1.06E+03,1.03E+03,1.07E+03,9.20E+02,27.22K,3.11%
2018/3/10,9.99E+02,1.06E+03,1.08E+03,9.87E+02,22.53K,-5.92%
2018/3/11,1.14E+03,9.99E+02,1.15E+03,9.65E+02,24.45K,14.09%
2018/3/12,1.05E+03,1.14E+03,1.15E+03,1.01E+03,17.37K,-8.00%
2018/3/13,1.05E+03,1.05E+03,1.10E+03,9.92E+02,22.47K,0.26%
2018/3/14,9.43E+02,1.05E+03,1.07E+03,9.12E+02,29.25K,-10.28%
2018/3/15,9.39E+02,9.43E+02,9.53E+02,8.67E+02,21.87K,-0.48%
2018/3/16,9.71E+02,9.38E+02,1.06E+03,8.95E+02,43.74K,3.46%
2018/3/17,9.44E+02,9.70E+02,1.03E+03,9.25E+02,40.64K,-2.80%
2018/3/18,9.32E+02,9.43E+02,9.45E+02,8.43E+02,45.15K,-1.33%
2018/3/19,9.92E+02,9.31E+02,9.99E+02,9.07E+02,33.85K,6.48%
2018/3/20,1.06E+03,9.92E+02,1.07E+03,9.47E+02,43.77K,7.08%
2018/3/21,1.03E+03,1.06E+03,1.08E+03,1.01E+03,36.88K,-3.13%
2018/3/22,1.01E+03,1.03E+03,1.06E+03,9.84E+02,31.74K,-1.46%
2018/3/23,1.03E+03,1.01E+03,1.03E+03,9.58E+02,37.54K,1.40%
2018/3/24,9.71E+02,1.03E+03,1.04E+03,9.70E+02,35.91K,-5.55%
2018/3/25,9.70E+02,9.72E+02,9.91E+02,9.61E+02,26.98K,-0.15%
2018/3/26,9.10E+02,9.71E+02,9.75E+02,8.81E+02,41.35K,-6.10%
2018/3/27,8.74E+02,9.10E+02,9.27E+02,8.70E+02,33.61K,-4.05%
2018/3/28,8.59E+02,8.72E+02,8.97E+02,8.48E+02,41.17K,-1.64%
2018/3/29,7.09E+02,8.59E+02,8.69E+02,6.96E+02,65.58K,-17.46%
2018/3/30,6.97E+02,7.09E+02,7.73E+02,6.73E+02,67.14K,-1.76%
2018/3/31,6.83E+02,6.97E+02,7.35E+02,6.80E+02,49.22K,-1.96%
2018/4/1,6.44E+02,6.83E+02,6.98E+02,6.23E+02,41.92K,-5.72%
2018/4/2,6.62E+02,6.44E+02,6.86E+02,6.36E+02,39.62K,2.80%
2018/4/3,7.08E+02,6.62E+02,7.23E+02,6.57E+02,36.44K,6.88%
2018/4/4,6.47E+02,7.07E+02,7.09E+02,6.34E+02,32.68K,-8.57%
2018/4/5,6.40E+02,6.48E+02,6.58E+02,6.16E+02,28.50K,-1.08%
2018/4/6,6.08E+02,6.40E+02,6.46E+02,5.98E+02,20.37K,-5.07%
2018/4/7,6.38E+02,6.08E+02,6.53E+02,6.06E+02,8.69K,5.05%
2018/4/8,6.54E+02,6.38E+02,6.59E+02,6.38E+02,5.41K,2.48%
2018/4/9,6.36E+02,6.54E+02,6.81E+02,6.25E+02,27.21K,-2.73%
2018/4/10,6.50E+02,6.36E+02,6.58E+02,6.25E+02,25.45K,2.10%
2018/4/11,6.69E+02,6.50E+02,6.70E+02,6.47E+02,29.45K,3.00%
2018/4/12,7.36E+02,6.69E+02,7.41E+02,6.55E+02,48.45K,10.07%
2018/4/13,7.39E+02,7.37E+02,7.86E+02,7.19E+02,42.42K,0.30%
2018/4/14,7.35E+02,7.41E+02,7.61E+02,7.16E+02,34.15K,-0.45%
2018/4/15,7.79E+02,7.36E+02,7.86E+02,7.36E+02,31.45K,6.01%
2018/4/16,7.68E+02,7.79E+02,7.99E+02,7.41E+02,38.40K,-1.42%
2018/4/17,7.57E+02,7.69E+02,7.88E+02,7.52E+02,36.88K,-1.42%
2018/4/18,8.95E+02,7.57E+02,9.02E+02,7.56E+02,66.74K,18.14%
2018/4/19,9.67E+02,8.96E+02,9.83E+02,8.78E+02,69.47K,8.12%
2018/4/20,1.13E+03,9.66E+02,1.15E+03,9.41E+02,68.59K,16.49%
2018/4/21,1.16E+03,1.13E+03,1.19E+03,1.02E+03,76.12K,2.57%
2018/4/22,1.19E+03,1.16E+03,1.26E+03,1.11E+03,55.80K,3.14%
2018/4/23,1.44E+03,1.19E+03,1.45E+03,1.19E+03,71.49K,20.56%
2018/4/24,1.41E+03,1.44E+03,1.57E+03,1.39E+03,87.58K,-2.15%
2018/4/25,1.29E+03,1.41E+03,1.44E+03,1.24E+03,98.56K,-8.37%
2018/4/26,1.42E+03,1.29E+03,1.42E+03,1.24E+03,73.88K,10.30%
2018/4/27,1.33E+03,1.42E+03,1.43E+03,1.33E+03,47.36K,-6.24%
2018/4/28,1.39E+03,1.33E+03,1.42E+03,1.32E+03,41.54K,4.40%
2018/4/29,1.44E+03,1.39E+03,1.49E+03,1.37E+03,43.48K,3.63%
2018/4/30,1.35E+03,1.44E+03,1.45E+03,1.33E+03,23.44K,-6.56%
2018/5/1,1.36E+03,1.35E+03,1.36E+03,1.25E+03,28.32K,0.61%
2018/5/2,1.46E+03,1.35E+03,1.49E+03,1.32E+03,42.36K,7.83%
2018/5/3,1.51E+03,1.46E+03,1.54E+03,1.45E+03,48.62K,3.48%
2018/5/4,1.52E+03,1.51E+03,1.54E+03,1.46E+03,46.42K,0.30%
2018/5/5,1.77E+03,1.52E+03,1.77E+03,1.51E+03,80.97K,16.40%
2018/5/6,1.76E+03,1.77E+03,1.85E+03,1.64E+03,66.80K,-0.40%
2018/5/7,1.65E+03,1.76E+03,1.78E+03,1.57E+03,59.47K,-6.21%
2018/5/8,1.60E+03,1.65E+03,1.69E+03,1.55E+03,45.55K,-3.11%
2018/5/9,1.63E+03,1.60E+03,1.68E+03,1.47E+03,47.15K,1.91%
2018/5/10,1.52E+03,1.63E+03,1.67E+03,1.51E+03,41.14K,-6.71%
2018/5/11,1.36E+03,1.52E+03,1.56E+03,1.30E+03,69.82K,-10.46%
2018/5/12,1.46E+03,1.37E+03,1.50E+03,1.26E+03,65.76K,7.14%
2018/5/13,1.48E+03,1.46E+03,1.50E+03,1.40E+03,50.10K,1.30%
2018/5/14,1.41E+03,1.47E+03,1.50E+03,1.33E+03,70.84K,-4.51%
2018/5/15,1.34E+03,1.41E+03,1.45E+03,1.31E+03,39.21K,-5.14%
2018/5/16,1.28E+03,1.34E+03,1.36E+03,1.22E+03,47.29K,-4.45%
2018/5/17,1.20E+03,1.28E+03,1.34E+03,1.17E+03,56.32K,-6.44%
2018/5/18,1.20E+03,1.19E+03,1.22E+03,1.13E+03,71.83K,0.56%
2018/5/19,1.18E+03,1.20E+03,1.21E+03,1.15E+03,40.52K,-2.22%
2018/5/20,1.29E+03,1.18E+03,1.31E+03,1.16E+03,31.00K,9.99%
2018/5/21,1.23E+03,1.29E+03,1.30E+03,1.21E+03,19.10K,-5.03%
