date,close,open,high,low,交易量,涨跌幅
2019/5/16,6.48E+01,6.92E+01,7.19E+01,6.36E+01,240.77K,-24.95%
2019/5/17,6.06E+01,6.49E+01,6.56E+01,5.57E+01,246.51K,-6.50%
2019/5/18,5.97E+01,6.04E+01,6.12E+01,5.90E+01,56.38K,-1.47%
2019/5/19,6.52E+01,5.97E+01,6.66E+01,5.95E+01,97.95K,9.26%
2019/5/20,6.31E+01,6.51E+01,6.51E+01,6.04E+01,73.31K,-3.27%
2019/5/21,1.06E+02,6.31E+01,1.38E+02,6.15E+01,981.84K,67.59%
2019/5/22,1.04E+02,1.06E+02,1.18E+02,9.76E+01,559.69K,-1.46%
2019/5/23,1.01E+02,1.06E+02,1.06E+02,9.54E+01,249.16K,-2.85%
2019/5/24,9.87E+01,1.01E+02,1.01E+02,9.60E+01,154.38K,-2.45%
2019/5/25,9.22E+01,9.86E+01,9.95E+01,8.54E+01,168.68K,-6.63%
2019/5/26,1.05E+02,9.22E+01,1.17E+02,8.89E+01,333.46K,14.18%
2019/5/27,1.16E+02,1.05E+02,1.22E+02,1.03E+02,336.09K,10.41%
2019/5/28,1.22E+02,1.16E+02,1.27E+02,1.13E+02,219.88K,4.89%
2019/5/29,2.07E+02,1.22E+02,2.07E+02,1.14E+02,833.87K,69.63%
2019/5/30,1.82E+02,2.12E+02,2.52E+02,1.72E+02,1.10M,-11.93%
2019/5/31,1.95E+02,1.85E+02,2.00E+02,1.75E+02,583.38K,7.29%
2019/6/1,1.89E+02,1.96E+02,1.96E+02,1.83E+02,216.68K,-3.50%
2019/6/2,1.92E+02,1.89E+02,1.93E+02,1.84E+02,161.38K,1.56%
2019/6/3,2.18E+02,1.92E+02,2.37E+02,1.92E+02,694.55K,13.94%
2019/6/4,2.29E+02,2.17E+02,2.34E+02,2.04E+02,405.99K,4.85%
2019/6/5,2.16E+02,2.30E+02,2.33E+02,2.02E+02,476.46K,-5.76%
2019/6/6,1.98E+02,2.16E+02,2.16E+02,1.73E+02,475.78K,-8.06%
2019/6/7,2.02E+02,1.99E+02,2.09E+02,1.91E+02,256.49K,1.86%
2019/6/8,1.94E+02,2.02E+02,2.03E+02,1.88E+02,149.07K,-4.14%
2019/6/9,1.84E+02,1.94E+02,1.98E+02,1.78E+02,192.51K,-5.03%
