date,close,open,high,low,交易量,涨跌幅
2019/9/24,8.50E-04,1.09E-03,1.11E-03,8.00E-04,407.77M,-21.66%
2019/9/25,8.49E-04,8.50E-04,1.00E-03,8.14E-04,433.17M,-0.12%
2019/9/26,8.06E-04,8.60E-04,9.27E-04,7.64E-04,624.03M,-5.06%
2019/9/27,8.14E-04,8.06E-04,8.18E-04,7.77E-04,452.23M,0.99%
2019/9/28,7.99E-04,8.14E-04,8.20E-04,7.84E-04,407.33M,-1.84%
2019/9/29,7.86E-04,7.99E-04,8.00E-04,7.44E-04,446.87M,-1.63%
2019/9/30,8.16E-04,7.86E-04,8.45E-04,7.61E-04,348.88M,3.82%
2019/10/1,8.49E-04,8.16E-04,8.67E-04,8.08E-04,251.81M,4.04%
2019/10/2,8.93E-04,8.49E-04,9.04E-04,8.22E-04,128.52M,5.18%
2019/10/3,8.27E-04,8.93E-04,8.93E-04,8.05E-04,339.44M,-7.39%
2019/10/4,8.37E-04,8.27E-04,8.65E-04,8.07E-04,135.79M,1.21%
2019/10/5,8.04E-04,8.31E-04,8.38E-04,7.71E-04,240.20M,-3.94%
2019/10/6,7.84E-04,8.05E-04,8.32E-04,7.84E-04,54.65M,-2.49%
2019/10/7,8.23E-04,7.84E-04,8.30E-04,7.80E-04,211.37M,4.97%
2019/10/8,8.57E-04,8.20E-04,8.65E-04,8.20E-04,443.86M,4.13%
2019/10/9,9.51E-04,8.57E-04,9.88E-04,8.57E-04,506.80M,10.97%
2019/10/10,9.32E-04,9.51E-04,9.86E-04,8.84E-04,472.41M,-2.00%
2019/10/11,8.70E-04,9.32E-04,9.65E-04,8.55E-04,468.19M,-6.65%
2019/10/12,9.04E-04,8.70E-04,9.30E-04,8.57E-04,297.98M,3.91%
2019/10/13,9.00E-04,9.04E-04,9.21E-04,8.81E-04,158.80M,-0.44%
2019/10/14,9.03E-04,9.00E-04,9.25E-04,8.83E-04,286.04M,0.33%
2019/10/15,9.03E-04,9.04E-04,1.00E-03,8.82E-04,608.78M,0.00%
2019/10/16,8.86E-04,9.03E-04,9.83E-04,8.81E-04,512.41M,-1.88%
2019/10/17,9.00E-04,8.86E-04,9.15E-04,8.59E-04,247.84M,1.58%
2019/10/18,9.28E-04,9.00E-04,9.50E-04,8.77E-04,373.79M,3.11%
2019/10/19,8.88E-04,9.28E-04,9.58E-04,8.80E-04,835.57M,-4.31%
2019/10/20,8.94E-04,8.88E-04,9.19E-04,8.80E-04,77.94M,0.68%
2019/10/21,9.28E-04,8.94E-04,9.66E-04,8.21E-04,1.90B,3.80%
2019/10/22,1.12E-03,9.28E-04,1.15E-03,9.17E-04,3.08B,21.12%
2019/10/23,1.16E-03,1.12E-03,1.25E-03,1.06E-03,2.30B,3.38%
2019/10/24,1.12E-03,1.16E-03,1.19E-03,1.04E-03,1.78B,-3.79%
2019/10/25,1.09E-03,1.12E-03,1.13E-03,1.02E-03,754.48M,-2.50%
2019/10/26,1.03E-03,1.09E-03,1.15E-03,1.00E-03,520.16M,-5.32%
2019/10/27,1.01E-03,1.03E-03,1.04E-03,9.52E-04,391.63M,-2.42%
2019/10/28,9.50E-04,1.01E-03,1.02E-03,9.40E-04,579.48M,-5.66%
2019/10/29,9.50E-04,9.51E-04,9.91E-04,9.35E-04,297.11M,0.00%
2019/10/30,9.25E-04,9.50E-04,9.57E-04,9.14E-04,324.66M,-2.63%
2019/10/31,1.03E-03,9.25E-04,1.08E-03,9.08E-04,432.79M,11.03%
2019/11/1,9.55E-04,1.03E-03,1.06E-03,9.26E-04,490.84M,-7.01%
2019/11/2,9.35E-04,9.55E-04,9.68E-04,9.35E-04,404.05M,-2.09%
2019/11/3,9.78E-04,9.35E-04,9.98E-04,9.31E-04,206.77M,4.60%
2019/11/4,9.74E-04,9.78E-04,9.95E-04,9.51E-04,415.81M,-0.41%
2019/11/5,9.81E-04,9.74E-04,9.89E-04,9.42E-04,478.42M,0.72%
2019/11/6,9.69E-04,9.81E-04,9.86E-04,9.61E-04,276.07M,-1.22%
2019/11/7,1.09E-03,9.69E-04,1.15E-03,9.69E-04,914.62M,11.97%
2019/11/8,1.01E-03,1.09E-03,1.16E-03,9.70E-04,534.05M,-7.19%
2019/11/9,1.00E-03,1.01E-03,1.04E-03,9.93E-04,242.98M,-0.60%
2019/11/10,9.94E-04,1.00E-03,1.02E-03,9.72E-04,208.54M,-0.70%
2019/11/11,9.51E-04,9.94E-04,9.98E-04,9.17E-04,418.23M,-4.33%
2019/11/12,9.70E-04,9.51E-04,9.84E-04,9.40E-04,428.36M,2.00%
2019/11/13,9.78E-04,9.73E-04,1.06E-03,9.64E-04,444.07M,0.82%
2019/11/14,9.92E-04,9.78E-04,9.98E-04,9.59E-04,324.50M,1.43%
2019/11/15,9.53E-04,9.92E-04,1.02E-03,9.52E-04,366.75M,-3.93%
2019/11/16,9.63E-04,9.53E-04,9.71E-04,9.46E-04,274.53M,1.05%
2019/11/17,9.54E-04,9.64E-04,9.67E-04,9.45E-04,84.48M,-0.93%
2019/11/18,9.21E-04,9.54E-04,9.86E-04,9.09E-04,278.76M,-3.46%
2019/11/19,9.52E-04,9.21E-04,1.01E-03,9.10E-04,451.71M,3.37%
2019/11/20,9.58E-04,9.52E-04,9.67E-04,9.37E-04,385.46M,0.63%
2019/11/21,8.79E-04,9.54E-04,9.59E-04,8.28E-04,499.59M,-8.25%
2019/11/22,9.23E-04,8.79E-04,1.05E-03,8.66E-04,640.25M,5.01%
2019/11/23,8.76E-04,9.23E-04,9.25E-04,8.62E-04,412.05M,-5.09%
2019/11/24,8.01E-04,8.79E-04,8.92E-04,7.93E-04,290.71M,-8.56%
2019/11/25,8.03E-04,8.01E-04,8.27E-04,7.21E-04,461.93M,0.25%
2019/11/26,8.00E-04,8.03E-04,8.48E-04,7.66E-04,409.59M,-0.37%
2019/11/27,7.97E-04,8.03E-04,8.32E-04,7.51E-04,533.50M,-0.37%
2019/11/28,7.81E-04,7.97E-04,7.99E-04,7.60E-04,708.80M,-2.01%
2019/11/29,7.94E-04,7.81E-04,8.01E-04,7.77E-04,156.20M,1.66%
2019/11/30,7.76E-04,7.96E-04,8.08E-04,7.56E-04,503.64M,-2.27%
2019/12/1,7.46E-04,7.76E-04,7.76E-04,7.32E-04,369.11M,-3.87%
2019/12/2,7.60E-04,7.46E-04,7.74E-04,7.27E-04,528.29M,1.88%
2019/12/3,7.65E-04,7.61E-04,7.89E-04,7.51E-04,270.33M,0.66%
2019/12/4,7.45E-04,7.65E-04,7.84E-04,7.37E-04,389.12M,-2.61%
2019/12/5,7.63E-04,7.46E-04,7.67E-04,7.36E-04,390.11M,2.42%
2019/12/6,7.63E-04,7.63E-04,7.67E-04,7.48E-04,259.20M,0.00%
2019/12/7,7.76E-04,7.61E-04,7.82E-04,7.54E-04,436.57M,1.70%
2019/12/8,7.79E-04,7.76E-04,7.95E-04,7.59E-04,226.38M,0.39%
2019/12/9,7.61E-04,7.83E-04,8.20E-04,7.55E-04,275.92M,-2.31%
2019/12/10,7.14E-04,7.61E-04,7.68E-04,6.92E-04,563.28M,-6.18%
2019/12/11,7.39E-04,7.14E-04,7.49E-04,7.10E-04,228.26M,3.50%
2019/12/12,7.39E-04,7.39E-04,7.64E-04,7.25E-04,192.37M,0.00%
2019/12/13,7.54E-04,7.39E-04,7.55E-04,7.34E-04,365.10M,2.03%
2019/12/14,7.03E-04,7.42E-04,7.51E-04,6.85E-04,612.77M,-6.76%
2019/12/15,6.98E-04,7.03E-04,7.14E-04,6.85E-04,558.46M,-0.71%
