date,close,open,high,low,交易量,涨跌幅
2021/2/8,3.06E+00,2.98E+00,3.18E+00,2.94E+00,20.44M,2.57%
2021/2/9,3.18E+00,3.07E+00,3.24E+00,3.01E+00,17.68M,3.74%
2021/2/10,3.09E+00,3.18E+00,3.29E+00,3.02E+00,21.96M,-2.62%
2021/2/11,3.56E+00,3.09E+00,3.56E+00,3.07E+00,20.62M,15.02%
2021/2/12,3.39E+00,3.56E+00,3.56E+00,3.39E+00,15.43M,-4.73%
2021/2/13,3.29E+00,3.40E+00,3.50E+00,3.26E+00,16.10M,-2.86%
2021/2/14,2.96E+00,3.30E+00,3.30E+00,2.96E+00,12.84M,-10.20%
2021/2/15,2.72E+00,2.97E+00,2.97E+00,2.44E+00,34.27M,-8.05%
2021/2/16,2.68E+00,2.72E+00,2.80E+00,2.63E+00,15.47M,-1.50%
2021/2/17,2.78E+00,2.68E+00,2.83E+00,2.60E+00,14.14M,3.97%
2021/2/18,2.81E+00,2.79E+00,2.94E+00,2.77E+00,11.73M,1.02%
2021/2/19,2.63E+00,2.82E+00,2.82E+00,2.63E+00,11.30M,-6.63%
2021/2/20,2.89E+00,2.63E+00,3.12E+00,2.63E+00,42.35M,10.17%
2021/2/21,2.91E+00,2.89E+00,2.95E+00,2.84E+00,17.42M,0.58%
2021/2/22,2.57E+00,2.91E+00,2.91E+00,2.42E+00,26.90M,-11.52%
2021/2/23,2.14E+00,2.58E+00,2.58E+00,1.98E+00,37.40M,-17.03%
2021/2/24,2.15E+00,2.14E+00,2.34E+00,2.08E+00,20.80M,0.83%
2021/2/25,2.01E+00,2.16E+00,2.26E+00,2.01E+00,14.48M,-6.68%
2021/2/26,1.93E+00,2.01E+00,2.08E+00,1.92E+00,15.41M,-4.23%
2021/2/27,1.96E+00,1.93E+00,2.03E+00,1.93E+00,10.47M,1.88%
2021/2/28,1.76E+00,1.96E+00,1.96E+00,1.66E+00,16.03M,-10.12%
2021/3/1,2.00E+00,1.77E+00,2.00E+00,1.77E+00,10.95M,13.56%
2021/3/2,2.51E+00,2.00E+00,2.51E+00,2.00E+00,35.59M,25.41%
2021/3/3,2.28E+00,2.50E+00,2.62E+00,2.28E+00,19.39M,-9.19%
2021/3/4,2.08E+00,2.28E+00,2.29E+00,2.06E+00,18.24M,-8.62%
2021/3/5,2.05E+00,2.09E+00,2.09E+00,1.95E+00,10.12M,-1.61%
2021/3/6,2.05E+00,2.05E+00,2.13E+00,1.96E+00,9.25M,-0.13%
2021/3/7,2.25E+00,2.05E+00,2.25E+00,2.05E+00,13.70M,9.71%
2021/3/8,2.39E+00,2.24E+00,2.39E+00,2.04E+00,20.79M,6.50%
2021/3/9,2.40E+00,2.39E+00,2.44E+00,2.32E+00,13.03M,0.30%
2021/3/10,2.22E+00,2.40E+00,2.40E+00,2.22E+00,12.03M,-7.63%
2021/3/11,2.17E+00,2.21E+00,2.21E+00,2.08E+00,10.24M,-2.08%
2021/3/12,2.06E+00,2.18E+00,2.18E+00,2.03E+00,10.73M,-5.03%
2021/3/13,2.38E+00,2.06E+00,2.38E+00,2.04E+00,14.45M,15.49%
2021/3/14,2.11E+00,2.38E+00,2.38E+00,2.11E+00,9.29M,-11.37%
2021/3/15,2.22E+00,2.11E+00,2.33E+00,2.11E+00,15.92M,5.46%
