date,close,open,high,low,交易量,涨跌幅
2020/3/4,2.42E-03,2.50E-03,2.50E-03,2.37E-03,201.62M,-3.19%
2020/3/5,2.48E-03,2.42E-03,2.53E-03,2.42E-03,122.20M,2.41%
2020/3/6,2.49E-03,2.48E-03,2.50E-03,2.44E-03,63.54M,0.37%
2020/3/7,2.41E-03,2.49E-03,2.49E-03,2.39E-03,112.33M,-3.19%
2020/3/8,2.17E-03,2.41E-03,2.41E-03,2.16E-03,181.08M,-9.96%
2020/3/9,2.22E-03,2.17E-03,2.23E-03,2.08E-03,229.79M,2.45%
2020/3/10,2.21E-03,2.22E-03,2.26E-03,2.17E-03,226.02M,-0.68%
2020/3/11,2.17E-03,2.21E-03,2.22E-03,2.10E-03,128.13M,-1.53%
2020/3/12,1.60E-03,2.17E-03,2.18E-03,1.40E-03,770.81M,-26.34%
2020/3/13,1.75E-03,1.50E-03,1.80E-03,1.15E-03,373.32M,9.14%
2020/3/14,1.66E-03,1.75E-03,1.78E-03,1.63E-03,224.62M,-4.73%
2020/3/15,1.69E-03,1.66E-03,1.83E-03,1.64E-03,183.27M,1.80%
2020/3/16,1.58E-03,1.69E-03,1.70E-03,1.42E-03,232.81M,-6.59%
2020/3/17,1.62E-03,1.58E-03,1.68E-03,1.55E-03,120.19M,2.54%
2020/3/18,1.60E-03,1.62E-03,1.64E-03,1.54E-03,150.76M,-1.34%
2020/3/19,1.77E-03,1.60E-03,1.84E-03,1.57E-03,319.14M,10.65%
2020/3/20,1.78E-03,1.76E-03,1.93E-03,1.66E-03,301.41M,0.55%
2020/3/21,1.79E-03,1.78E-03,1.85E-03,1.70E-03,120.58M,0.27%
2020/3/22,1.74E-03,1.79E-03,1.85E-03,1.72E-03,156.47M,-2.67%
2020/3/23,1.82E-03,1.73E-03,1.84E-03,1.68E-03,179.92M,4.72%
2020/3/24,1.86E-03,1.84E-03,1.91E-03,1.81E-03,283.94M,2.46%
2020/3/25,1.83E-03,1.86E-03,1.90E-03,1.79E-03,170.81M,-1.81%
2020/3/26,1.85E-03,1.83E-03,1.87E-03,1.81E-03,151.01M,0.95%
2020/3/27,1.78E-03,1.85E-03,1.87E-03,1.74E-03,195.98M,-3.84%
2020/3/28,1.79E-03,1.77E-03,1.81E-03,1.70E-03,314.88M,0.94%
2020/3/29,1.71E-03,1.78E-03,1.80E-03,1.70E-03,156.05M,-4.65%
2020/3/30,1.80E-03,1.71E-03,1.85E-03,1.71E-03,116.27M,5.02%
2020/3/31,1.80E-03,1.80E-03,1.83E-03,1.79E-03,67.79M,0.47%
2020/4/1,1.86E-03,1.80E-03,1.87E-03,1.77E-03,151.96M,2.86%
2020/4/2,1.88E-03,1.88E-03,1.95E-03,1.84E-03,146.96M,1.19%
2020/4/3,1.85E-03,1.88E-03,1.91E-03,1.82E-03,97.65M,-1.65%
2020/4/4,1.87E-03,1.85E-03,1.90E-03,1.83E-03,92.36M,1.25%
2020/4/5,1.85E-03,1.87E-03,1.88E-03,1.84E-03,55.34M,-1.05%
2020/4/6,1.99E-03,1.85E-03,1.99E-03,1.84E-03,210.55M,7.55%
2020/4/7,1.99E-03,1.99E-03,2.02E-03,1.96E-03,202.99M,0.24%
2020/4/8,2.00E-03,1.99E-03,2.04E-03,1.97E-03,90.38M,0.48%
2020/4/9,2.02E-03,2.00E-03,2.03E-03,1.99E-03,89.11M,0.56%
2020/4/10,1.97E-03,2.02E-03,2.02E-03,1.87E-03,212.69M,-2.49%
2020/4/11,1.96E-03,1.97E-03,2.01E-03,1.94E-03,77.01M,-0.03%
2020/4/12,1.97E-03,1.96E-03,2.01E-03,1.94E-03,114.34M,0.06%
2020/4/13,1.95E-03,1.96E-03,1.97E-03,1.87E-03,186.19M,-0.63%
2020/4/14,1.97E-03,1.95E-03,1.98E-03,1.93E-03,67.40M,0.63%
2020/4/15,1.91E-03,1.97E-03,1.97E-03,1.90E-03,143.75M,-3.03%
2020/4/16,2.00E-03,1.91E-03,2.01E-03,1.87E-03,151.06M,4.66%
2020/4/17,1.98E-03,2.00E-03,2.01E-03,1.97E-03,56.34M,-0.58%
2020/4/18,2.05E-03,1.98E-03,2.06E-03,1.98E-03,92.79M,3.08%
2020/4/19,2.03E-03,2.05E-03,2.06E-03,2.00E-03,70.56M,-0.65%
2020/4/20,1.98E-03,2.03E-03,2.05E-03,1.94E-03,180.88M,-2.59%
2020/4/21,1.95E-03,1.97E-03,2.00E-03,1.93E-03,94.28M,-1.45%
2020/4/22,2.00E-03,1.95E-03,2.02E-03,1.94E-03,72.88M,2.35%
2020/4/23,2.05E-03,2.00E-03,2.14E-03,1.99E-03,243.12M,2.78%
2020/4/24,2.08E-03,2.05E-03,2.11E-03,2.04E-03,76.19M,1.56%
2020/4/25,2.12E-03,2.08E-03,2.14E-03,2.07E-03,173.12M,1.98%
2020/4/26,2.41E-03,2.13E-03,2.44E-03,2.13E-03,801.62M,13.21%
2020/4/27,2.35E-03,2.40E-03,2.41E-03,2.29E-03,477.60M,-2.48%
2020/4/28,2.33E-03,2.34E-03,2.36E-03,2.30E-03,168.26M,-0.79%
2020/4/29,2.49E-03,2.33E-03,2.54E-03,2.31E-03,354.89M,7.06%
2020/4/30,2.43E-03,2.49E-03,2.69E-03,2.36E-03,551.83M,-2.34%
2020/5/1,2.47E-03,2.43E-03,2.55E-03,2.42E-03,219.09M,1.40%
2020/5/2,2.54E-03,2.46E-03,2.55E-03,2.45E-03,154.19M,3.04%
2020/5/3,2.50E-03,2.54E-03,2.58E-03,2.46E-03,168.25M,-1.65%
2020/5/4,2.46E-03,2.50E-03,2.51E-03,2.36E-03,151.52M,-1.58%
2020/5/5,2.47E-03,2.46E-03,2.52E-03,2.43E-03,83.34M,0.54%
2020/5/6,2.48E-03,2.49E-03,2.56E-03,2.46E-03,180.77M,0.25%
2020/5/7,2.66E-03,2.48E-03,2.69E-03,2.46E-03,367.38M,7.37%
2020/5/8,2.61E-03,2.67E-03,2.67E-03,2.57E-03,259.39M,-2.16%
2020/5/9,2.60E-03,2.62E-03,2.65E-03,2.55E-03,216.72M,-0.33%
2020/5/10,2.46E-03,2.61E-03,2.61E-03,2.27E-03,321.25M,-5.25%
2020/5/11,2.41E-03,2.44E-03,2.53E-03,2.30E-03,192.93M,-1.94%
2020/5/12,2.46E-03,2.41E-03,2.51E-03,2.41E-03,107.31M,1.99%
2020/5/13,2.53E-03,2.46E-03,2.54E-03,2.44E-03,168.04M,2.60%
2020/5/14,2.58E-03,2.53E-03,2.65E-03,2.51E-03,315.45M,2.25%
2020/5/15,2.49E-03,2.57E-03,2.58E-03,2.46E-03,126.64M,-3.58%
2020/5/16,2.51E-03,2.49E-03,2.54E-03,2.47E-03,82.49M,0.84%
2020/5/17,2.53E-03,2.51E-03,2.58E-03,2.50E-03,103.74M,0.93%
2020/5/18,2.54E-03,2.53E-03,2.59E-03,2.51E-03,94.72M,0.19%
2020/5/19,2.55E-03,2.54E-03,2.58E-03,2.49E-03,90.15M,0.27%
2020/5/20,2.50E-03,2.55E-03,2.57E-03,2.46E-03,153.23M,-1.76%
2020/5/21,2.48E-03,2.50E-03,2.55E-03,2.42E-03,205.03M,-0.90%
2020/5/22,2.52E-03,2.48E-03,2.54E-03,2.46E-03,107.35M,1.61%
2020/5/23,2.53E-03,2.52E-03,2.56E-03,2.49E-03,160.05M,0.36%
2020/5/24,2.45E-03,2.53E-03,2.56E-03,2.44E-03,160.43M,-3.25%
2020/5/25,2.53E-03,2.43E-03,2.55E-03,2.42E-03,280.56M,3.60%
2020/5/26,2.48E-03,2.53E-03,2.53E-03,2.46E-03,187.99M,-2.14%
2020/5/27,2.50E-03,2.48E-03,2.52E-03,2.46E-03,176.18M,0.88%
2020/5/28,2.52E-03,2.50E-03,2.56E-03,2.48E-03,256.25M,0.93%
2020/5/29,2.53E-03,2.52E-03,2.55E-03,2.50E-03,142.91M,0.29%
2020/5/30,2.62E-03,2.53E-03,2.63E-03,2.53E-03,217.48M,3.46%
2020/5/31,2.56E-03,2.62E-03,2.62E-03,2.54E-03,165.69M,-2.21%
2020/6/1,2.65E-03,2.56E-03,2.69E-03,2.54E-03,289.26M,3.47%
2020/6/2,2.57E-03,2.67E-03,2.67E-03,2.50E-03,329.06M,-3.10%
2020/6/3,2.58E-03,2.57E-03,2.60E-03,2.54E-03,130.11M,0.49%
2020/6/4,2.62E-03,2.59E-03,2.67E-03,2.57E-03,326.67M,1.70%
2020/6/5,2.59E-03,2.62E-03,2.63E-03,2.58E-03,114.03M,-1.21%
2020/6/6,2.59E-03,2.58E-03,2.60E-03,2.55E-03,101.62M,0.05%
2020/6/7,2.60E-03,2.59E-03,2.61E-03,2.55E-03,133.31M,0.24%
2020/6/8,2.58E-03,2.60E-03,2.60E-03,2.55E-03,122.37M,-0.77%
2020/6/9,2.56E-03,2.58E-03,2.59E-03,2.53E-03,116.94M,-0.78%
2020/6/10,2.58E-03,2.56E-03,2.60E-03,2.54E-03,113.15M,0.68%
2020/6/11,2.45E-03,2.58E-03,2.59E-03,2.41E-03,169.13M,-5.07%
2020/6/12,2.50E-03,2.45E-03,2.53E-03,2.44E-03,133.29M,2.22%
2020/6/13,2.52E-03,2.50E-03,2.53E-03,2.49E-03,95.67M,0.94%
2020/6/14,2.50E-03,2.51E-03,2.53E-03,2.48E-03,65.66M,-1.05%
2020/6/15,2.47E-03,2.50E-03,2.50E-03,2.40E-03,147.07M,-0.92%
2020/6/16,2.49E-03,2.47E-03,2.50E-03,2.41E-03,219.55M,0.45%
2020/6/17,2.48E-03,2.49E-03,2.49E-03,2.45E-03,136.09M,-0.20%
