date,close,open,high,low,交易量,涨跌幅
2017/12/2,3.91E+00,3.18E+00,3.97E+00,3.11E+00,193.82K,22.96%
2017/12/3,3.59E+00,3.91E+00,4.20E+00,3.45E+00,178.07K,-8.18%
2017/12/4,4.00E+00,3.59E+00,4.24E+00,3.40E+00,195.80K,11.42%
2017/12/5,4.35E+00,4.00E+00,4.46E+00,3.63E+00,167.26K,8.75%
2017/12/6,4.47E+00,4.35E+00,5.09E+00,4.11E+00,206.39K,2.76%
2017/12/7,3.82E+00,4.47E+00,4.58E+00,3.50E+00,107.23K,-14.54%
2017/12/8,4.23E+00,3.82E+00,4.53E+00,3.55E+00,117.23K,10.73%
2017/12/9,3.96E+00,4.23E+00,4.69E+00,3.70E+00,115.85K,-6.38%
2017/12/10,3.69E+00,3.96E+00,4.19E+00,3.41E+00,119.53K,-6.82%
2017/12/11,4.25E+00,3.69E+00,4.40E+00,3.67E+00,129.58K,15.18%
2017/12/12,5.08E+00,4.25E+00,5.60E+00,4.05E+00,164.70K,19.53%
2017/12/13,7.12E+00,5.08E+00,1.08E+01,4.70E+00,279.69K,40.16%
2017/12/14,8.25E+00,7.12E+00,8.60E+00,6.65E+00,195.64K,15.87%
2017/12/15,7.90E+00,8.25E+00,8.40E+00,6.53E+00,153.29K,-4.24%
2017/12/16,8.40E+00,7.90E+00,9.00E+00,7.90E+00,56.11K,6.33%
2017/12/17,7.94E+00,8.40E+00,8.88E+00,7.89E+00,131.17K,-5.48%
2017/12/18,8.85E+00,7.94E+00,8.87E+00,7.23E+00,150.75K,11.46%
2017/12/19,1.14E+01,8.85E+00,1.20E+01,8.50E+00,350.65K,28.25%
2017/12/20,1.05E+01,1.14E+01,1.16E+01,9.51E+00,190.44K,-7.49%
2017/12/21,1.06E+01,1.05E+01,1.19E+01,9.12E+00,196.59K,0.76%
2017/12/22,7.64E+00,1.06E+01,1.07E+01,6.54E+00,432.29K,-27.79%
2017/12/23,8.18E+00,7.64E+00,9.12E+00,7.62E+00,182.41K,7.07%
2017/12/24,7.91E+00,8.18E+00,8.32E+00,6.81E+00,158.74K,-3.30%
2017/12/25,8.15E+00,7.91E+00,8.70E+00,7.68E+00,145.75K,3.03%
2017/12/26,8.60E+00,8.15E+00,8.75E+00,8.15E+00,96.04K,5.52%
2017/12/27,8.76E+00,8.60E+00,9.45E+00,8.20E+00,193.23K,1.86%
2017/12/28,8.14E+00,8.76E+00,8.80E+00,7.31E+00,232.63K,-7.08%
2017/12/29,8.26E+00,8.14E+00,8.63E+00,7.93E+00,118.70K,1.47%
2017/12/30,7.10E+00,8.26E+00,8.26E+00,6.61E+00,337.65K,-14.04%
2017/12/31,7.65E+00,7.10E+00,8.00E+00,7.00E+00,440.46K,7.75%
2018/1/1,7.64E+00,7.65E+00,8.00E+00,7.25E+00,433.39K,-0.13%
2018/1/2,8.33E+00,7.64E+00,8.59E+00,7.64E+00,720.92K,9.03%
2018/1/3,9.33E+00,8.33E+00,9.35E+00,7.70E+00,543.72K,12.00%
2018/1/4,9.50E+00,9.33E+00,1.06E+01,9.10E+00,660.43K,1.82%
2018/1/5,9.40E+00,9.50E+00,9.88E+00,8.68E+00,592.85K,-1.05%
2018/1/6,9.77E+00,9.40E+00,1.00E+01,8.80E+00,535.76K,3.94%
2018/1/7,1.02E+01,9.77E+00,1.09E+01,9.70E+00,667.53K,4.40%
2018/1/8,9.57E+00,1.02E+01,1.04E+01,8.10E+00,817.95K,-6.18%
2018/1/9,9.20E+00,9.57E+00,9.67E+00,8.85E+00,416.58K,-3.87%
2018/1/10,1.12E+01,9.20E+00,1.17E+01,8.51E+00,800.97K,22.17%
2018/1/11,1.13E+01,1.12E+01,1.24E+01,9.00E+00,1.17M,0.53%
2018/1/12,1.38E+01,1.13E+01,1.58E+01,1.05E+01,1.43M,21.68%
2018/1/13,1.61E+01,1.38E+01,1.85E+01,1.32E+01,1.72M,16.95%
2018/1/14,1.32E+01,1.61E+01,1.62E+01,1.27E+01,587.01K,-17.91%
2018/1/15,1.28E+01,1.32E+01,1.47E+01,1.27E+01,538.82K,-3.18%
2018/1/16,9.91E+00,1.28E+01,1.30E+01,8.33E+00,1.42M,-22.46%
2018/1/17,1.01E+01,9.91E+00,1.05E+01,7.52E+00,1.49M,1.72%
2018/1/18,1.02E+01,1.01E+01,1.12E+01,9.67E+00,1.18M,0.99%
2018/1/19,1.11E+01,1.02E+01,1.17E+01,9.62E+00,1.03M,8.64%
2018/1/20,1.56E+01,1.11E+01,1.57E+01,1.11E+01,1.11M,41.41%
2018/1/21,1.35E+01,1.56E+01,1.57E+01,1.22E+01,1.19M,-14.00%
2018/1/22,1.35E+01,1.35E+01,1.52E+01,1.27E+01,1.43M,0.52%
2018/1/23,1.30E+01,1.35E+01,1.38E+01,1.18E+01,1.56M,-3.77%
2018/1/24,1.40E+01,1.30E+01,1.40E+01,1.25E+01,744.17K,7.53%
2018/1/25,1.43E+01,1.40E+01,1.50E+01,1.36E+01,927.38K,2.07%
2018/1/26,1.44E+01,1.43E+01,1.48E+01,1.32E+01,1.02M,0.56%
2018/1/27,1.44E+01,1.44E+01,1.47E+01,1.40E+01,772.63K,0.42%
2018/1/28,1.47E+01,1.44E+01,1.49E+01,1.42E+01,847.15K,2.22%
2018/1/29,1.36E+01,1.47E+01,1.48E+01,1.34E+01,962.10K,-7.73%
2018/1/30,1.14E+01,1.36E+01,1.37E+01,1.09E+01,2.29M,-16.54%
2018/1/31,1.20E+01,1.14E+01,1.22E+01,1.03E+01,2.13M,5.37%
2018/2/1,1.01E+01,1.20E+01,1.22E+01,9.74E+00,2.71M,-15.38%
2018/2/2,1.02E+01,1.01E+01,1.11E+01,8.57E+00,2.35M,0.99%
2018/2/3,1.06E+01,1.02E+01,1.13E+01,9.25E+00,1.46M,4.01%
2018/2/4,8.89E+00,1.06E+01,1.09E+01,8.64E+00,1.10M,-16.37%
2018/2/5,7.07E+00,8.89E+00,9.26E+00,6.83E+00,2.59M,-20.47%
2018/2/6,8.26E+00,7.07E+00,8.46E+00,5.90E+00,2.47M,16.83%
2018/2/7,7.62E+00,8.26E+00,8.98E+00,7.50E+00,1.73M,-7.75%
2018/2/8,8.38E+00,7.62E+00,8.76E+00,7.62E+00,862.04K,9.97%
