date,close,open,high,low,volume,涨跌幅
2018/1/18,991.01 ,1006.25 ,1115.00 ,866.00 ,1.76K,-1.51%
2018/1/19,979.57 ,991.01 ,1090.00 ,871.00 ,1.71K,-1.15%
2018/1/20,1178.29 ,979.57 ,1239.89 ,979.57 ,0.97K,20.29%
2018/1/21,1022.74 ,1178.29 ,1185.39 ,1010.84 ,0.67K,-13.20%
2018/1/22,999.37 ,1022.74 ,1152.61 ,944.97 ,1.00K,-2.29%
2018/1/23,1042.47 ,999.37 ,1180.00 ,949.89 ,0.90K,4.31%
2018/1/24,1051.95 ,1042.47 ,1200.00 ,1000.00 ,1.27K,0.91%
2018/1/25,1062.72 ,1051.95 ,1163.83 ,1021.00 ,1.06K,1.02%
2018/1/26,1068.37 ,1063.79 ,1150.46 ,1000.35 ,1.15K,0.53%
2018/1/27,1134.30 ,1064.59 ,1180.00 ,1054.14 ,0.83K,6.17%
2018/1/28,1251.02 ,1134.30 ,1280.00 ,1122.22 ,0.74K,10.29%
2018/1/29,1203.60 ,1251.02 ,1274.00 ,1173.54 ,0.79K,-3.79%
2018/1/30,1101.75 ,1203.60 ,1220.00 ,1080.00 ,0.57K,-8.46%
2018/1/31,1116.08 ,1101.75 ,1152.50 ,1050.00 ,0.77K,1.30%
2018/2/1,1059.99 ,1116.08 ,1171.60 ,1000.28 ,1.25K,-5.03%
2018/2/2,908.09 ,1059.99 ,1059.99 ,731.00 ,1.28K,-14.33%
2018/2/3,977.47 ,908.09 ,997.77 ,853.33 ,1.24K,7.64%
2018/2/4,839.61 ,977.47 ,1000.00 ,785.30 ,1.19K,-14.10%
2018/2/5,691.35 ,839.61 ,864.00 ,614.84 ,1.30K,-17.66%
2018/2/6,799.96 ,691.35 ,821.97 ,551.00 ,1.15K,15.71%
2018/2/7,765.47 ,799.96 ,850.00 ,683.28 ,0.98K,-4.31%
2018/2/8,795.28 ,764.71 ,838.70 ,758.05 ,1.63K,3.90%
2018/2/9,871.00 ,790.57 ,910.00 ,773.80 ,1.26K,9.52%
2018/2/10,859.33 ,866.37 ,914.00 ,821.03 ,1.60K,-1.34%
2018/2/11,825.71 ,859.33 ,875.00 ,781.48 ,1.45K,-3.91%
2018/2/12,866.21 ,825.71 ,884.50 ,819.45 ,1.63K,4.90%
2018/2/13,846.41 ,867.07 ,8970.00 ,827.50 ,0.75K,-2.29%
2018/2/14,924.04 ,846.41 ,957.00 ,845.53 ,1.99K,9.17%
2018/2/15,919.65 ,924.03 ,955.49 ,888.29 ,1.27K,-0.47%
2018/2/16,948.88 ,919.81 ,979.80 ,915.07 ,2.21K,3.18%
2018/2/17,970.77 ,948.39 ,979.80 ,941.72 ,1.23K,2.31%
2018/2/18,915.97 ,970.83 ,1760.00 ,885.11 ,2.66K,-5.65%
2018/2/19,946.03 ,915.05 ,980.91 ,910.00 ,2.34K,3.28%
2018/2/20,879.78 ,946.03 ,995.57 ,873.62 ,1.40K,-7.00%
2018/2/21,830.52 ,879.78 ,8910.00 ,817.10 ,1.44K,-5.60%
2018/2/22,811.40 ,830.53 ,9050.00 ,793.00 ,2.45K,-2.30%
2018/2/23,849.82 ,811.40 ,892.62 ,797.00 ,2.35K,4.74%
2018/2/24,826.22 ,849.81 ,876.17 ,809.17 ,2.28K,-2.78%
2018/2/25,842.54 ,826.13 ,864.19 ,812.85 ,1.33K,1.97%
2018/2/26,871.16 ,842.54 ,888.00 ,832.57 ,1.03K,3.40%
2018/2/27,881.71 ,871.16 ,904.65 ,860.92 ,0.86K,1.21%
2018/2/28,850.85 ,881.71 ,897.06 ,844.44 ,1.03K,-3.50%
2018/3/1,873.35 ,850.85 ,887.49 ,848.89 ,1.34K,2.65%
2018/3/2,855.59 ,873.27 ,887.49 ,844.50 ,0.95K,-2.03%
2018/3/3,853.59 ,855.59 ,886.25 ,851.00 ,0.84K,-0.23%
2018/3/4,871.28 ,853.59 ,871.28 ,835.69 ,0.92K,2.07%
2018/3/5,854.38 ,870.41 ,875.00 ,852.00 ,1.07K,-1.94%
2018/3/6,811.35 ,854.38 ,862.88 ,794.84 ,0.95K,-5.04%
2018/3/7,744.61 ,812.17 ,827.75 ,700.00 ,1.33K,-8.23%
2018/3/8,690.00 ,745.36 ,769.00 ,690.00 ,0.76K,-7.33%
2018/3/9,720.91 ,690.00 ,726.52 ,624.50 ,1.21K,4.48%
2018/3/10,680.91 ,720.91 ,744.91 ,672.22 ,1.61K,-5.55%
2018/3/11,724.98 ,680.91 ,734.99 ,644.00 ,2.12K,6.47%
2018/3/12,691.66 ,724.98 ,748.89 ,678.90 ,2.51K,-4.60%
2018/3/13,693.45 ,691.66 ,715.31 ,673.20 ,3.46K,0.26%
2018/3/14,607.00 ,692.36 ,703.87 ,580.00 ,2.21K,-12.47%
