date,close,open,high,low,volume,涨跌幅
2018/1/16,2.40E+01,2.67E+01,2.90E+01,2.21E+01,36.32K,-9.98%
2018/1/17,2.49E+01,2.40E+01,2.50E+01,2.00E+01,35.37K,3.71%
2018/1/18,2.36E+01,2.49E+01,2.58E+01,2.25E+01,16.28K,-5.02%
2018/1/19,2.40E+01,2.36E+01,2.50E+01,2.27E+01,13.43K,1.44%
2018/1/20,2.54E+01,2.40E+01,2.60E+01,2.40E+01,21.14K,5.76%
2018/1/21,2.40E+01,2.54E+01,2.58E+01,2.22E+01,18.37K,-5.52%
2018/1/22,2.40E+01,2.40E+01,2.50E+01,2.30E+01,8.75K,0.21%
2018/1/23,2.39E+01,2.40E+01,2.46E+01,2.25E+01,11.22K,-0.33%
2018/1/24,2.47E+01,2.39E+01,2.48E+01,2.34E+01,6.14K,3.30%
2018/1/25,2.46E+01,2.47E+01,2.54E+01,2.43E+01,12.65K,-0.49%
2018/1/26,2.51E+01,2.46E+01,2.54E+01,2.40E+01,10.29K,2.11%
2018/1/27,2.49E+01,2.51E+01,2.54E+01,2.42E+01,9.07K,-0.84%
2018/1/28,2.60E+01,2.49E+01,2.60E+01,2.49E+01,16.75K,4.34%
2018/1/29,2.52E+01,2.60E+01,2.60E+01,2.48E+01,7.21K,-2.93%
2018/1/30,2.49E+01,2.52E+01,2.56E+01,2.42E+01,9.83K,-1.27%
2018/1/31,2.54E+01,2.49E+01,2.55E+01,2.40E+01,8.28K,1.81%
2018/2/1,2.40E+01,2.54E+01,2.57E+01,2.35E+01,9.03K,-5.17%
2018/2/2,2.47E+01,2.40E+01,2.47E+01,2.25E+01,7.97K,2.75%
2018/2/3,2.39E+01,2.47E+01,2.52E+01,2.35E+01,7.62K,-3.12%
2018/2/4,2.24E+01,2.39E+01,2.47E+01,2.18E+01,13.09K,-6.27%
2018/2/5,2.03E+01,2.24E+01,2.24E+01,1.90E+01,11.03K,-9.36%
2018/2/6,2.24E+01,2.03E+01,2.25E+01,1.60E+01,10.67K,10.13%
2018/2/7,1.91E+01,2.20E+01,2.27E+01,1.90E+01,10.28K,-14.83%
2018/2/8,2.05E+01,1.91E+01,2.16E+01,1.90E+01,9.53K,7.55%
2018/2/9,2.04E+01,2.05E+01,2.10E+01,1.95E+01,8.75K,-0.78%
2018/2/10,2.05E+01,2.04E+01,2.15E+01,2.01E+01,10.51K,0.59%
2018/2/11,2.04E+01,2.05E+01,2.05E+01,1.94E+01,3.12K,-0.15%
2018/2/12,1.99E+01,2.04E+01,2.10E+01,1.97E+01,2.60K,-2.69%
2018/2/13,2.07E+01,1.99E+01,2.08E+01,1.96E+01,3.89K,4.27%
2018/2/14,2.13E+01,2.07E+01,2.13E+01,1.98E+01,4.76K,2.80%
