date,close,open,high,low,交易量,涨跌幅
2019/11/19,1.19E-02,1.22E-02,1.22E-02,1.13E-02,20.79M,-2.52%
2019/11/20,1.14E-02,1.19E-02,1.19E-02,1.13E-02,14.75M,-4.36%
2019/11/21,1.04E-02,1.14E-02,1.14E-02,1.01E-02,23.89M,-8.21%
2019/11/22,1.00E-02,1.04E-02,1.05E-02,9.29E-03,33.89M,-3.80%
2019/11/23,1.06E-02,1.00E-02,1.07E-02,9.83E-03,21.06M,5.24%
2019/11/24,9.66E-03,1.06E-02,1.06E-02,9.52E-03,23.69M,-8.52%
2019/11/25,1.11E-02,9.66E-03,1.12E-02,9.07E-03,16.42M,14.90%
2019/11/26,1.21E-02,1.11E-02,1.23E-02,1.08E-02,15.56M,9.26%
2019/11/27,1.26E-02,1.21E-02,1.28E-02,1.10E-02,11.82M,3.89%
2019/11/28,1.35E-02,1.26E-02,1.39E-02,1.21E-02,13.11M,6.80%
2019/11/29,1.34E-02,1.35E-02,1.35E-02,1.34E-02,7.26M,-0.18%
2019/11/30,1.26E-02,1.34E-02,1.34E-02,1.23E-02,13.51M,-5.97%
2019/12/1,1.27E-02,1.26E-02,1.34E-02,1.20E-02,12.05M,0.22%
2019/12/2,1.23E-02,1.27E-02,1.27E-02,1.23E-02,10.34M,-2.97%
2019/12/3,1.19E-02,1.23E-02,1.23E-02,8.83E-03,11.85M,-3.25%
2019/12/4,1.23E-02,1.19E-02,1.33E-02,1.18E-02,17.34M,3.35%
2019/12/5,1.24E-02,1.23E-02,1.33E-02,1.21E-02,12.70M,0.74%
2019/12/6,1.32E-02,1.24E-02,1.34E-02,1.23E-02,14.75M,6.60%
2019/12/7,1.34E-02,1.32E-02,1.37E-02,1.31E-02,13.42M,1.27%
2019/12/8,1.27E-02,1.34E-02,1.34E-02,1.25E-02,19.87M,-4.67%
2019/12/9,1.22E-02,1.27E-02,1.31E-02,1.21E-02,17.73M,-3.79%
2019/12/10,1.09E-02,1.22E-02,1.25E-02,1.05E-02,26.27M,-11.40%
2019/12/11,1.13E-02,1.09E-02,1.18E-02,1.08E-02,18.64M,3.93%
2019/12/12,1.10E-02,1.13E-02,1.14E-02,1.08E-02,20.60M,-2.32%
2019/12/13,1.14E-02,1.10E-02,1.15E-02,1.10E-02,16.29M,3.38%
2019/12/14,1.15E-02,1.14E-02,1.16E-02,1.09E-02,16.70M,0.99%
2019/12/15,1.20E-02,1.15E-02,1.26E-02,1.12E-02,20.10M,4.41%
2019/12/16,1.10E-02,1.20E-02,1.23E-02,1.08E-02,19.82M,-8.33%
2019/12/17,9.80E-03,1.10E-02,1.10E-02,9.43E-03,22.93M,-10.98%
2019/12/18,1.07E-02,9.80E-03,1.08E-02,9.32E-03,28.46M,9.46%
2019/12/19,1.04E-02,1.07E-02,1.07E-02,9.94E-03,18.96M,-3.09%
2019/12/20,1.08E-02,1.04E-02,1.09E-02,1.00E-02,21.70M,3.52%
2019/12/21,1.04E-02,1.08E-02,1.08E-02,1.02E-02,17.51M,-3.23%
2019/12/22,1.01E-02,1.04E-02,1.04E-02,9.57E-03,23.63M,-2.71%
2019/12/23,9.99E-03,1.01E-02,1.03E-02,9.73E-03,17.86M,-1.42%
2019/12/24,1.09E-02,9.99E-03,1.11E-02,9.77E-03,25.50M,9.10%
2019/12/25,1.01E-02,1.09E-02,1.10E-02,9.86E-03,20.05M,-7.20%
2019/12/26,1.03E-02,1.01E-02,1.11E-02,1.01E-02,25.86M,2.04%
2019/12/27,1.10E-02,1.03E-02,1.12E-02,1.02E-02,23.10M,7.03%
2019/12/28,1.18E-02,1.10E-02,1.21E-02,1.07E-02,24.61M,6.71%
2019/12/29,1.14E-02,1.18E-02,1.21E-02,1.12E-02,19.57M,-3.65%
2019/12/30,1.14E-02,1.14E-02,1.16E-02,1.12E-02,15.16M,0.60%
2019/12/31,1.09E-02,1.14E-02,1.14E-02,1.07E-02,17.27M,-4.87%
2020/1/1,1.06E-02,1.09E-02,1.09E-02,1.03E-02,18.76M,-2.01%
2020/1/2,1.02E-02,1.06E-02,1.07E-02,1.01E-02,15.13M,-3.93%
2020/1/3,1.03E-02,1.02E-02,1.05E-02,1.02E-02,16.34M,0.87%
2020/1/4,1.06E-02,1.03E-02,1.06E-02,1.03E-02,15.03M,3.11%
2020/1/5,1.05E-02,1.06E-02,1.08E-02,1.03E-02,13.75M,-1.42%
2020/1/6,1.07E-02,1.05E-02,1.08E-02,1.05E-02,13.64M,1.80%
2020/1/7,1.03E-02,1.07E-02,1.08E-02,1.01E-02,16.60M,-3.10%
2020/1/8,1.02E-02,1.03E-02,1.04E-02,1.00E-02,26.33M,-1.42%
2020/1/9,1.00E-02,1.02E-02,1.04E-02,9.93E-03,23.42M,-1.57%
2020/1/10,1.03E-02,1.00E-02,1.03E-02,9.94E-03,21.55M,2.43%
2020/1/11,1.02E-02,1.03E-02,1.03E-02,1.00E-02,17.73M,-1.29%
2020/1/12,1.02E-02,1.02E-02,1.02E-02,9.96E-03,17.62M,0.51%
2020/1/13,9.89E-03,1.02E-02,1.02E-02,9.80E-03,18.47M,-3.08%
2020/1/14,9.43E-03,9.89E-03,1.00E-02,9.07E-03,39.37M,-4.63%
2020/1/15,9.67E-03,9.43E-03,1.01E-02,9.19E-03,37.04M,2.50%
2020/1/16,9.60E-03,9.67E-03,9.67E-03,9.25E-03,20.43M,-0.63%
2020/1/17,1.00E-02,9.60E-03,1.02E-02,9.45E-03,28.05M,4.62%
2020/1/18,1.01E-02,1.00E-02,1.02E-02,9.82E-03,24.87M,0.49%
2020/1/19,9.54E-03,1.01E-02,1.01E-02,9.26E-03,22.14M,-5.48%
2020/1/20,9.51E-03,9.54E-03,9.70E-03,9.32E-03,20.03M,-0.33%
2020/1/21,9.65E-03,9.51E-03,9.77E-03,9.39E-03,21.55M,1.44%
2020/1/22,9.55E-03,9.65E-03,9.65E-03,9.50E-03,15.17M,-1.07%
2020/1/23,9.31E-03,9.55E-03,9.60E-03,9.11E-03,19.03M,-2.51%
2020/1/24,9.42E-03,9.31E-03,9.57E-03,9.04E-03,19.44M,1.19%
2020/1/25,9.55E-03,9.42E-03,9.57E-03,9.22E-03,15.27M,1.38%
2020/1/26,9.66E-03,9.55E-03,9.85E-03,9.39E-03,17.86M,1.15%
2020/1/27,9.64E-03,9.66E-03,9.75E-03,9.42E-03,17.86M,-0.21%
2020/1/28,9.16E-03,9.64E-03,9.64E-03,9.04E-03,20.29M,-5.00%
2020/1/29,8.78E-03,9.16E-03,9.22E-03,8.78E-03,18.13M,-4.13%
2020/1/30,8.84E-03,8.78E-03,9.03E-03,8.62E-03,20.46M,0.69%
2020/1/31,9.23E-03,8.84E-03,9.46E-03,8.62E-03,26.35M,4.44%
