date,close,open,high,low,交易量,涨跌幅
2018/6/29,3.51E-04,3.78E-04,3.78E-04,3.44E-04,-,-14.33%
2018/6/30,3.66E-04,3.66E-04,3.66E-04,3.66E-04,-,4.38%
2018/7/1,4.18E-04,4.18E-04,4.18E-04,4.18E-04,-,14.09%
2018/7/2,5.05E-04,4.16E-04,5.11E-04,0.00E+00,-,20.92%
2018/7/3,4.16E-04,5.05E-04,5.15E-04,4.14E-04,-,-17.66%
2018/7/4,4.67E-04,4.16E-04,5.66E-04,4.06E-04,-,12.45%
2018/7/5,4.59E-04,4.67E-04,5.06E-04,4.42E-04,-,-1.81%
2018/7/6,4.51E-04,4.59E-04,4.65E-04,4.38E-04,-,-1.71%
2018/7/7,4.48E-04,4.51E-04,4.57E-04,4.30E-04,-,-0.62%
2018/7/8,4.72E-04,4.48E-04,4.76E-04,4.44E-04,-,5.19%
2018/7/9,4.28E-04,4.72E-04,4.73E-04,4.26E-04,-,-9.18%
2018/7/10,3.98E-04,4.28E-04,4.31E-04,3.94E-04,-,-7.20%
2018/7/11,3.96E-04,3.98E-04,4.07E-04,3.81E-04,-,-0.35%
2018/7/12,3.95E-04,3.96E-04,4.43E-04,3.58E-04,-,-0.30%
2018/7/13,3.63E-04,3.95E-04,4.38E-04,3.58E-04,-,-8.12%
2018/7/14,4.25E-04,3.63E-04,4.30E-04,3.42E-04,-,17.11%
2018/7/15,4.63E-04,4.25E-04,4.69E-04,4.25E-04,-,8.93%
2018/7/16,4.17E-04,4.63E-04,4.91E-04,3.98E-04,-,-9.95%
2018/7/17,4.34E-04,4.17E-04,4.60E-04,3.97E-04,-,4.17%
2018/7/18,4.93E-04,4.34E-04,5.25E-04,3.98E-04,-,13.44%
2018/7/19,4.55E-04,4.93E-04,4.93E-04,4.27E-04,-,-7.63%
2018/7/20,5.03E-04,4.55E-04,5.04E-04,4.17E-04,-,10.46%
2018/7/21,5.21E-04,5.03E-04,5.89E-04,4.68E-04,-,3.72%
2018/7/22,6.05E-04,5.21E-04,7.44E-04,5.17E-04,-,15.98%
2018/7/23,1.11E-03,6.05E-04,1.14E-03,5.62E-04,-,82.81%
2018/7/24,9.22E-04,1.11E-03,1.11E-03,7.38E-04,-,-16.53%
2018/7/25,8.35E-04,9.22E-04,9.31E-04,8.22E-04,-,-9.45%
2018/7/26,8.02E-04,8.35E-04,8.46E-04,7.57E-04,-,-3.93%
2018/7/27,8.02E-04,8.02E-04,8.07E-04,7.74E-04,-,0.00%
2018/7/28,7.98E-04,8.02E-04,8.07E-04,7.64E-04,-,-0.60%
2018/7/29,7.23E-04,7.98E-04,7.98E-04,7.20E-04,-,-9.32%
2018/7/30,7.08E-04,7.23E-04,7.27E-04,6.79E-04,-,-2.10%
2018/7/31,6.05E-04,7.08E-04,7.09E-04,5.82E-04,-,-14.52%
2018/8/1,6.17E-04,6.05E-04,6.25E-04,5.64E-04,-,1.90%
2018/8/2,6.08E-04,6.17E-04,6.41E-04,5.90E-04,-,-1.41%
2018/8/3,6.01E-04,6.08E-04,6.09E-04,5.33E-04,-,-1.10%
2018/8/4,5.45E-04,6.01E-04,6.12E-04,5.40E-04,-,-9.43%
2018/8/5,5.72E-04,5.45E-04,5.75E-04,5.44E-04,-,5.09%
2018/8/6,7.94E-04,5.72E-04,7.98E-04,5.72E-04,-,38.72%
2018/8/7,6.61E-04,7.94E-04,7.98E-04,6.61E-04,-,-16.71%
2018/8/8,6.44E-04,6.61E-04,7.16E-04,6.36E-04,-,-2.68%
2018/8/9,7.45E-04,6.44E-04,7.71E-04,6.15E-04,-,15.67%
2018/8/10,6.61E-04,7.45E-04,7.51E-04,6.50E-04,-,-11.27%
2018/8/11,6.36E-04,6.61E-04,6.61E-04,6.11E-04,-,-3.69%
2018/8/12,6.71E-04,6.36E-04,6.89E-04,6.30E-04,-,5.51%
2018/8/13,5.79E-04,6.71E-04,6.81E-04,5.79E-04,-,-13.75%
2018/8/14,5.62E-04,5.79E-04,5.79E-04,5.12E-04,-,-3.01%
2018/8/15,5.59E-04,5.62E-04,6.08E-04,5.51E-04,-,-0.53%
2018/8/16,5.48E-04,5.59E-04,5.97E-04,5.28E-04,-,-1.96%
2018/8/17,6.31E-04,5.48E-04,6.62E-04,5.45E-04,-,15.26%
2018/8/18,5.88E-04,6.31E-04,6.42E-04,5.54E-04,-,-6.85%
2018/8/19,5.90E-04,5.88E-04,6.19E-04,5.75E-04,-,0.38%
2018/8/20,5.43E-04,5.90E-04,6.51E-04,5.42E-04,-,-7.97%
2018/8/21,5.79E-04,5.43E-04,5.88E-04,5.42E-04,-,6.51%
2018/8/22,5.64E-04,5.79E-04,6.16E-04,5.44E-04,-,-2.58%
2018/8/23,5.93E-04,5.64E-04,6.02E-04,5.61E-04,-,5.22%
2018/8/24,6.08E-04,5.93E-04,6.11E-04,5.84E-04,-,2.59%
2018/8/25,5.99E-04,6.08E-04,6.11E-04,5.98E-04,-,-1.56%
2018/8/26,5.93E-04,5.99E-04,6.00E-04,5.82E-04,-,-1.08%
2018/8/27,6.20E-04,5.93E-04,6.20E-04,5.87E-04,-,4.57%
2018/8/28,7.83E-04,6.20E-04,7.89E-04,6.11E-04,-,26.44%
2018/8/29,8.47E-04,7.83E-04,8.69E-04,7.70E-04,-,8.14%
2018/8/30,8.33E-04,8.47E-04,8.53E-04,7.98E-04,-,-1.68%
2018/8/31,8.01E-04,8.33E-04,8.33E-04,7.60E-04,-,-3.89%
2018/9/1,8.61E-04,8.01E-04,8.89E-04,7.89E-04,-,7.61%
2018/9/2,1.14E-03,8.61E-04,1.20E-03,8.48E-04,-,31.85%
2018/9/3,1.44E-03,1.14E-03,1.60E-03,1.10E-03,-,26.57%
2018/9/4,1.42E-03,1.44E-03,1.46E-03,1.41E-03,-,-1.36%
2018/9/5,1.13E-03,1.42E-03,1.43E-03,1.13E-03,-,-20.09%
2018/9/6,1.14E-03,1.13E-03,1.15E-03,1.05E-03,-,0.77%
2018/9/7,1.07E-03,1.14E-03,1.16E-03,1.06E-03,-,-6.22%
2018/9/8,9.78E-04,1.07E-03,1.09E-03,9.49E-04,-,-8.71%
2018/9/9,9.72E-04,9.78E-04,1.04E-03,9.23E-04,-,-0.55%
2018/9/10,9.79E-04,9.72E-04,1.01E-03,9.29E-04,-,0.66%
2018/9/11,9.21E-04,9.79E-04,9.89E-04,8.86E-04,-,-5.87%
2018/9/12,9.10E-04,9.21E-04,9.21E-04,8.34E-04,-,-1.19%
2018/9/13,1.05E-03,9.10E-04,1.07E-03,9.10E-04,-,15.00%
2018/9/14,1.04E-03,1.05E-03,1.11E-03,1.01E-03,-,-0.21%
2018/9/15,1.11E-03,1.04E-03,1.13E-03,1.03E-03,-,6.02%
2018/9/16,1.09E-03,1.11E-03,1.12E-03,1.02E-03,-,-1.37%
2018/9/17,9.38E-04,1.09E-03,1.12E-03,9.19E-04,-,-14.10%
2018/9/18,1.12E-03,9.38E-04,1.14E-03,9.26E-04,-,18.87%
2018/9/19,1.12E-03,1.12E-03,1.14E-03,1.05E-03,-,0.41%
2018/9/20,1.00E-03,1.12E-03,1.13E-03,8.68E-04,-,-10.58%
2018/9/21,1.10E-03,1.00E-03,1.16E-03,9.82E-04,-,9.78%
2018/9/22,1.06E-03,1.10E-03,1.13E-03,1.04E-03,-,-3.34%
2018/9/23,1.08E-03,1.06E-03,1.14E-03,1.05E-03,-,2.01%
2018/9/24,1.04E-03,1.08E-03,1.10E-03,1.03E-03,-,-3.65%
2018/9/25,9.94E-04,1.04E-03,1.04E-03,9.46E-04,-,-4.81%
2018/9/26,9.87E-04,9.94E-04,1.02E-03,9.60E-04,-,-0.72%
2018/9/27,1.00E-03,9.87E-04,1.06E-03,9.63E-04,-,1.74%
2018/9/28,1.01E-03,1.00E-03,1.06E-03,9.61E-04,-,0.39%
2018/9/29,1.08E-03,1.01E-03,1.10E-03,9.71E-04,-,7.04%
2018/9/30,9.82E-04,1.08E-03,1.11E-03,9.70E-04,-,-8.97%
2018/10/1,9.72E-04,9.82E-04,1.09E-03,9.60E-04,-,-0.99%
2018/10/2,9.81E-04,9.72E-04,1.07E-03,9.60E-04,-,0.90%
2018/10/3,9.75E-04,9.81E-04,1.00E-03,9.33E-04,-,-0.60%
