date,close,open,high,low,交易量,涨跌幅
2018/6/2,5.99E-02,6.57E-02,6.57E-02,5.71E-02,72.25M,-8.82%
2018/6/3,5.31E-02,5.99E-02,5.99E-02,5.25E-02,26.03M,-11.34%
2018/6/4,4.88E-02,5.31E-02,5.35E-02,4.60E-02,30.13M,-8.17%
2018/6/5,4.94E-02,4.88E-02,5.08E-02,4.45E-02,17.58M,1.31%
2018/6/6,4.71E-02,4.86E-02,4.89E-02,4.46E-02,9.61M,-4.75%
2018/6/7,4.50E-02,4.71E-02,4.83E-02,4.46E-02,9.72M,-4.47%
2018/6/8,4.25E-02,4.50E-02,4.54E-02,4.23E-02,10.61M,-5.34%
2018/6/9,3.98E-02,4.26E-02,4.26E-02,3.94E-02,8.55M,-6.46%
2018/6/10,3.30E-02,3.98E-02,3.98E-02,3.26E-02,33.81M,-17.09%
2018/6/11,3.92E-02,3.28E-02,4.13E-02,3.24E-02,70.55M,18.79%
2018/6/12,3.95E-02,3.92E-02,4.50E-02,3.54E-02,89.19M,0.76%
2018/6/13,3.51E-02,3.95E-02,4.04E-02,3.35E-02,15.77M,-11.13%
2018/6/14,3.63E-02,3.51E-02,3.78E-02,3.38E-02,10.18M,3.53%
2018/6/15,3.28E-02,3.63E-02,3.69E-02,3.28E-02,6.21M,-9.73%
2018/6/16,3.35E-02,3.28E-02,3.43E-02,3.26E-02,2.24M,2.06%
2018/6/17,3.49E-02,3.35E-02,3.59E-02,3.32E-02,2.24M,4.10%
2018/6/18,4.52E-02,3.49E-02,4.88E-02,3.40E-02,18.22M,29.69%
2018/6/19,4.30E-02,4.52E-02,5.02E-02,4.09E-02,35.59M,-4.83%
2018/6/20,3.66E-02,4.30E-02,4.40E-02,3.56E-02,24.74M,-14.92%
2018/6/21,3.53E-02,3.67E-02,3.81E-02,3.46E-02,15.08M,-3.53%
2018/6/22,2.94E-02,3.53E-02,3.69E-02,2.92E-02,12.20M,-16.78%
2018/6/23,2.86E-02,2.94E-02,3.05E-02,2.80E-02,5.62M,-2.72%
2018/6/24,2.61E-02,2.86E-02,2.89E-02,2.38E-02,10.58M,-8.70%
2018/6/25,2.80E-02,2.61E-02,2.97E-02,2.54E-02,7.22M,7.33%
2018/6/26,2.58E-02,2.83E-02,2.97E-02,2.57E-02,4.26M,-7.83%
2018/6/27,2.60E-02,2.58E-02,2.68E-02,2.47E-02,4.51M,0.70%
2018/6/28,2.39E-02,2.60E-02,2.70E-02,2.38E-02,4.43M,-8.08%
2018/6/29,2.49E-02,2.39E-02,2.58E-02,2.37E-02,3.50M,4.18%
2018/6/30,2.66E-02,2.49E-02,2.79E-02,2.49E-02,7.17M,6.63%
2018/7/1,2.58E-02,2.66E-02,2.71E-02,2.53E-02,1.98M,-2.95%
2018/7/2,3.10E-02,2.58E-02,3.30E-02,2.58E-02,13.70M,20.11%
2018/7/3,2.85E-02,3.10E-02,3.37E-02,2.82E-02,7.25M,-7.95%
2018/7/4,2.92E-02,2.85E-02,3.12E-02,2.75E-02,3.01M,2.55%
2018/7/5,2.85E-02,2.92E-02,3.21E-02,2.76E-02,12.88M,-2.61%
2018/7/6,2.88E-02,2.85E-02,3.11E-02,2.73E-02,8.89M,1.22%
2018/7/7,2.92E-02,2.88E-02,2.93E-02,2.78E-02,1.66M,1.35%
2018/7/8,2.99E-02,2.92E-02,3.05E-02,2.86E-02,2.07M,2.52%
2018/7/9,2.77E-02,2.99E-02,2.99E-02,2.77E-02,11.58M,-7.34%
