date,close,open,high,low,volume,涨跌幅
2018/2/2,4.90E-01,5.10E-01,5.20E-01,3.70E-01,21.74K,-4.10%
2018/2/3,5.10E-01,4.90E-01,5.40E-01,4.70E-01,12.69K,3.48%
2018/2/4,4.40E-01,5.10E-01,5.20E-01,4.20E-01,19.42K,-14.26%
2018/2/5,4.00E-01,4.40E-01,4.60E-01,3.20E-01,17.42K,-8.82%
2018/2/6,4.20E-01,4.00E-01,4.50E-01,2.80E-01,42.93K,6.22%
2018/2/7,3.80E-01,4.20E-01,4.60E-01,3.60E-01,16.00K,-10.36%
2018/2/8,4.20E-01,3.80E-01,4.30E-01,3.80E-01,2.66K,10.90%
2018/2/9,4.40E-01,4.20E-01,4.60E-01,3.90E-01,22.35K,5.49%
2018/2/10,4.10E-01,4.40E-01,4.70E-01,4.00E-01,36.73K,-6.97%
2018/2/11,4.20E-01,4.10E-01,4.30E-01,3.80E-01,9.05K,1.92%
2018/2/12,4.90E-01,4.20E-01,5.30E-01,4.00E-01,16.75K,17.96%
2018/2/13,5.70E-01,4.90E-01,6.20E-01,4.50E-01,27.11K,15.31%
2018/2/14,5.70E-01,5.70E-01,5.80E-01,5.20E-01,14.68K,0.00%
2018/2/15,5.60E-01,5.70E-01,5.80E-01,5.30E-01,15.25K,0.00%
2018/2/16,6.70E-01,5.60E-01,6.80E-01,5.60E-01,10.58K,18.92%
2018/2/17,6.80E-01,6.70E-01,6.90E-01,5.90E-01,15.93K,1.22%
2018/2/18,7.00E-01,6.80E-01,8.00E-01,5.80E-01,18.89K,3.69%
2018/2/19,7.80E-01,7.00E-01,8.70E-01,6.90E-01,61.63K,10.76%
2018/2/20,7.50E-01,7.80E-01,8.20E-01,7.30E-01,21.03K,-3.83%
2018/2/21,6.20E-01,7.50E-01,7.50E-01,6.20E-01,6.59K,-17.70%
2018/2/22,6.20E-01,6.20E-01,7.00E-01,5.60E-01,3.89K,0.00%
2018/2/23,6.70E-01,6.20E-01,6.80E-01,5.80E-01,2.08K,8.34%
2018/2/24,6.50E-01,6.70E-01,7.20E-01,5.90E-01,14.51K,-3.32%
2018/2/25,6.80E-01,6.50E-01,6.90E-01,6.00E-01,18.02K,4.68%
2018/2/26,6.90E-01,6.80E-01,7.10E-01,6.10E-01,16.69K,2.04%
2018/2/27,7.20E-01,6.90E-01,7.80E-01,6.60E-01,6.13K,4.21%
2018/2/28,6.60E-01,7.20E-01,7.70E-01,6.60E-01,10.24K,-8.49%
2018/3/1,6.80E-01,6.60E-01,6.80E-01,6.50E-01,9.27K,3.10%
2018/3/2,6.50E-01,6.80E-01,7.10E-01,6.20E-01,3.58K,-5.41%
2018/3/3,6.50E-01,6.50E-01,6.70E-01,6.20E-01,10.75K,0.87%
2018/3/4,5.90E-01,6.50E-01,6.60E-01,5.90E-01,9.71K,-9.19%
2018/3/5,5.70E-01,5.90E-01,6.30E-01,5.70E-01,10.06K,-2.69%
2018/3/6,5.70E-01,5.70E-01,6.00E-01,5.40E-01,12.69K,0.00%
2018/3/7,5.20E-01,5.70E-01,6.00E-01,4.40E-01,26.49K,-8.17%
2018/3/8,5.30E-01,5.20E-01,5.30E-01,4.70E-01,8.18K,0.00%
