date,close,open,high,low,交易量,涨跌幅
2019/1/1,3.16E+01,2.99E+01,3.18E+01,2.98E+01,3.20M,5.58%
2019/1/2,3.28E+01,3.15E+01,3.33E+01,3.14E+01,3.55M,3.85%
2019/1/3,3.15E+01,3.28E+01,3.29E+01,3.08E+01,2.57M,-4.04%
2019/1/4,3.19E+01,3.15E+01,3.27E+01,3.08E+01,3.00M,1.44%
2019/1/5,3.44E+01,3.19E+01,3.60E+01,3.19E+01,4.90M,7.94%
2019/1/6,3.86E+01,3.44E+01,3.97E+01,3.41E+01,6.62M,12.01%
2019/1/7,3.75E+01,3.86E+01,3.92E+01,3.71E+01,5.66M,-2.88%
2019/1/8,3.89E+01,3.75E+01,4.08E+01,3.75E+01,6.59M,3.91%
2019/1/9,3.84E+01,3.89E+01,3.98E+01,3.82E+01,5.07M,-1.47%
2019/1/10,3.30E+01,3.84E+01,3.90E+01,3.19E+01,8.67M,-13.92%
2019/1/11,3.16E+01,3.30E+01,3.35E+01,3.11E+01,6.13M,-4.17%
2019/1/12,3.18E+01,3.16E+01,3.24E+01,3.13E+01,4.52M,0.43%
2019/1/13,2.97E+01,3.18E+01,3.27E+01,2.94E+01,6.57M,-6.51%
2019/1/14,3.18E+01,2.97E+01,3.25E+01,2.97E+01,6.05M,7.19%
2019/1/15,3.09E+01,3.18E+01,3.22E+01,3.03E+01,5.29M,-2.99%
2019/1/16,3.13E+01,3.09E+01,3.18E+01,3.06E+01,5.73M,1.35%
2019/1/17,3.15E+01,3.13E+01,3.15E+01,3.02E+01,6.73M,0.46%
2019/1/18,3.09E+01,3.14E+01,3.15E+01,3.05E+01,5.68M,-1.84%
2019/1/19,3.21E+01,3.09E+01,3.29E+01,3.09E+01,6.04M,3.93%
2019/1/20,3.06E+01,3.21E+01,3.30E+01,3.03E+01,7.20M,-4.59%
2019/1/21,3.08E+01,3.06E+01,3.12E+01,3.05E+01,5.95M,0.75%
2019/1/22,3.15E+01,3.08E+01,3.20E+01,2.97E+01,6.98M,2.11%
2019/1/23,3.18E+01,3.15E+01,3.22E+01,3.13E+01,6.03M,0.83%
2019/1/24,3.25E+01,3.18E+01,3.29E+01,3.11E+01,5.64M,2.47%
2019/1/25,3.28E+01,3.25E+01,3.30E+01,3.20E+01,6.28M,0.72%
2019/1/26,3.29E+01,3.28E+01,3.39E+01,3.26E+01,6.41M,0.38%
2019/1/27,3.23E+01,3.29E+01,3.32E+01,3.16E+01,7.01M,-1.78%
2019/1/28,3.10E+01,3.23E+01,3.26E+01,3.01E+01,7.96M,-4.05%
2019/1/29,3.09E+01,3.10E+01,3.13E+01,3.01E+01,6.52M,-0.24%
2019/1/30,3.17E+01,3.09E+01,3.20E+01,3.06E+01,6.71M,2.51%
2019/1/31,3.14E+01,3.17E+01,3.23E+01,3.12E+01,6.56M,-0.88%
2019/2/1,3.28E+01,3.14E+01,3.36E+01,3.09E+01,8.94M,4.22%
2019/2/2,3.46E+01,3.28E+01,3.50E+01,3.25E+01,7.65M,5.71%
2019/2/3,3.35E+01,3.46E+01,3.49E+01,3.30E+01,7.22M,-3.21%
2019/2/4,3.42E+01,3.35E+01,3.45E+01,3.34E+01,5.33M,1.97%
2019/2/5,3.44E+01,3.42E+01,3.46E+01,3.38E+01,5.41M,0.64%
2019/2/6,3.29E+01,3.44E+01,3.45E+01,3.24E+01,6.68M,-4.35%
2019/2/7,3.33E+01,3.29E+01,3.37E+01,3.29E+01,5.02M,1.31%
2019/2/8,4.31E+01,3.33E+01,4.47E+01,3.30E+01,15.28M,29.45%
2019/2/9,4.47E+01,4.31E+01,4.62E+01,4.22E+01,10.31M,3.63%
2019/2/10,4.69E+01,4.47E+01,4.73E+01,4.24E+01,10.12M,4.81%
2019/2/11,4.30E+01,4.69E+01,4.69E+01,4.22E+01,9.35M,-8.16%
2019/2/12,4.39E+01,4.30E+01,4.45E+01,4.22E+01,7.87M,2.11%
2019/2/13,4.18E+01,4.39E+01,4.46E+01,4.10E+01,8.59M,-4.96%
2019/2/14,4.14E+01,4.17E+01,4.25E+01,4.07E+01,7.63M,-0.87%
2019/2/15,4.26E+01,4.14E+01,4.43E+01,4.14E+01,8.87M,2.99%
2019/2/16,4.34E+01,4.26E+01,4.43E+01,4.24E+01,8.03M,1.85%
2019/2/17,4.40E+01,4.34E+01,4.50E+01,4.29E+01,8.32M,1.26%
2019/2/18,4.79E+01,4.40E+01,4.88E+01,4.38E+01,12.39M,9.03%
2019/2/19,4.74E+01,4.79E+01,4.90E+01,4.68E+01,10.29M,-1.05%
2019/2/20,5.17E+01,4.74E+01,5.22E+01,4.67E+01,11.83M,8.94%
2019/2/21,4.90E+01,5.17E+01,5.17E+01,4.81E+01,9.50M,-5.10%
2019/2/22,4.94E+01,4.90E+01,4.99E+01,4.84E+01,8.48M,0.73%
2019/2/23,5.14E+01,4.94E+01,5.18E+01,4.82E+01,9.05M,4.10%
2019/2/24,4.38E+01,5.14E+01,5.34E+01,4.27E+01,14.25M,-14.76%
2019/2/25,4.57E+01,4.38E+01,4.69E+01,4.38E+01,9.17M,4.15%
2019/2/26,4.50E+01,4.57E+01,4.61E+01,4.45E+01,7.61M,-1.40%
2019/2/27,4.52E+01,4.50E+01,4.57E+01,4.31E+01,8.96M,0.32%
2019/2/28,4.58E+01,4.52E+01,4.65E+01,4.50E+01,9.62M,1.47%
2019/3/1,4.72E+01,4.58E+01,4.90E+01,4.58E+01,11.04M,2.99%
2019/3/2,4.86E+01,4.72E+01,4.94E+01,4.68E+01,10.75M,3.01%
2019/3/3,4.80E+01,4.86E+01,4.91E+01,4.75E+01,9.06M,-1.30%
2019/3/4,4.60E+01,4.80E+01,4.83E+01,4.50E+01,10.98M,-4.23%
2019/3/5,5.27E+01,4.60E+01,5.41E+01,4.56E+01,19.78M,14.66%
2019/3/6,5.55E+01,5.27E+01,5.65E+01,5.15E+01,19.01M,5.34%
2019/3/7,5.68E+01,5.55E+01,5.89E+01,5.42E+01,22.81M,2.41%
2019/3/8,5.58E+01,5.68E+01,5.76E+01,5.46E+01,15.33M,-1.86%
2019/3/9,5.80E+01,5.58E+01,5.95E+01,5.56E+01,15.23M,3.96%
2019/3/10,5.68E+01,5.80E+01,5.81E+01,5.61E+01,11.85M,-2.05%
2019/3/11,5.50E+01,5.68E+01,5.74E+01,5.43E+01,14.12M,-3.24%
2019/3/12,5.67E+01,5.50E+01,5.70E+01,5.27E+01,14.16M,3.17%
2019/3/13,5.55E+01,5.67E+01,5.69E+01,5.46E+01,10.40M,-2.22%
2019/3/14,5.61E+01,5.54E+01,5.78E+01,5.38E+01,11.01M,1.09%
2019/3/15,5.86E+01,5.61E+01,5.91E+01,5.61E+01,11.36M,4.56%
2019/3/16,6.13E+01,5.86E+01,6.20E+01,5.85E+01,13.90M,4.63%
2019/3/17,6.07E+01,6.13E+01,6.14E+01,5.99E+01,10.14M,-1.07%
2019/3/18,5.93E+01,6.07E+01,6.26E+01,5.85E+01,13.66M,-2.19%
2019/3/19,5.96E+01,5.93E+01,6.00E+01,5.86E+01,11.03M,0.51%
2019/3/20,6.04E+01,5.96E+01,6.07E+01,5.75E+01,12.29M,1.33%
2019/3/21,5.88E+01,6.04E+01,6.07E+01,5.76E+01,11.11M,-2.72%
2019/3/22,5.94E+01,5.88E+01,5.97E+01,5.83E+01,9.78M,1.11%
2019/3/23,6.10E+01,5.94E+01,6.17E+01,5.91E+01,12.32M,2.69%
2019/3/24,6.00E+01,6.10E+01,6.10E+01,5.93E+01,10.93M,-1.74%
2019/3/25,5.93E+01,6.00E+01,6.32E+01,5.85E+01,12.22M,-1.19%
2019/3/26,5.90E+01,5.93E+01,5.94E+01,5.78E+01,8.99M,-0.41%
2019/3/27,6.17E+01,5.90E+01,6.19E+01,5.89E+01,11.82M,4.46%
2019/3/28,6.08E+01,6.17E+01,6.17E+01,6.04E+01,7.85M,-1.47%
2019/3/29,6.16E+01,6.08E+01,6.18E+01,6.04E+01,9.28M,1.37%
2019/3/30,6.08E+01,6.16E+01,6.17E+01,6.03E+01,8.38M,-1.30%
2019/3/31,6.08E+01,6.08E+01,6.10E+01,6.03E+01,7.38M,0.00%
2019/4/1,6.06E+01,6.08E+01,6.11E+01,6.03E+01,9.12M,-0.28%
2019/4/2,7.69E+01,6.06E+01,7.83E+01,6.04E+01,23.25M,26.82%
