date,close,open,high,low,交易量,涨跌幅
2020/8/18,1.67E+00,1.65E+00,1.72E+00,1.62E+00,6.52M,1.65%
2020/8/19,1.60E+00,1.67E+00,1.71E+00,1.57E+00,4.23M,-4.51%
2020/8/20,1.77E+00,1.60E+00,1.77E+00,1.60E+00,3.82M,11.20%
2020/8/21,1.51E+00,1.77E+00,1.77E+00,1.51E+00,4.21M,-14.93%
2020/8/22,1.54E+00,1.50E+00,1.55E+00,1.49E+00,2.83M,2.17%
2020/8/23,1.53E+00,1.54E+00,1.55E+00,1.48E+00,2.30M,-0.73%
2020/8/24,1.84E+00,1.53E+00,1.84E+00,1.50E+00,10.28M,19.86%
2020/8/25,1.67E+00,1.84E+00,1.84E+00,1.59E+00,6.07M,-8.90%
2020/8/26,2.07E+00,1.67E+00,2.07E+00,1.67E+00,13.91M,24.09%
2020/8/27,2.54E+00,2.07E+00,2.54E+00,2.03E+00,24.97M,22.46%
2020/8/28,2.42E+00,2.55E+00,2.73E+00,2.40E+00,19.84M,-4.79%
2020/8/29,2.82E+00,2.41E+00,2.87E+00,2.33E+00,13.78M,16.69%
2020/8/30,2.89E+00,2.84E+00,2.94E+00,2.72E+00,11.61M,2.31%
2020/8/31,3.29E+00,2.89E+00,3.32E+00,2.65E+00,15.54M,13.92%
2020/9/1,3.13E+00,3.29E+00,3.69E+00,3.13E+00,14.66M,-4.82%
2020/9/2,3.59E+00,3.12E+00,3.63E+00,3.12E+00,14.74M,14.70%
2020/9/3,2.90E+00,3.59E+00,3.59E+00,2.90E+00,12.03M,-19.29%
2020/9/4,2.89E+00,2.89E+00,3.25E+00,2.86E+00,8.94M,-0.38%
2020/9/5,2.21E+00,2.89E+00,3.01E+00,2.09E+00,13.07M,-23.65%
2020/9/6,2.60E+00,2.20E+00,2.60E+00,2.10E+00,13.42M,18.00%
2020/9/7,2.43E+00,2.60E+00,2.65E+00,2.13E+00,9.94M,-6.69%
2020/9/8,2.13E+00,2.44E+00,2.45E+00,2.12E+00,8.10M,-12.21%
2020/9/9,2.46E+00,2.13E+00,2.54E+00,2.11E+00,10.37M,15.32%
2020/9/10,2.29E+00,2.46E+00,2.52E+00,2.29E+00,7.10M,-6.99%
2020/9/11,2.39E+00,2.29E+00,2.39E+00,2.21E+00,4.56M,4.53%
2020/9/12,2.41E+00,2.38E+00,2.44E+00,2.28E+00,4.66M,0.84%
2020/9/13,2.37E+00,2.41E+00,2.48E+00,2.25E+00,12.20M,-1.60%
2020/9/14,2.40E+00,2.38E+00,2.51E+00,2.25E+00,8.79M,1.14%
2020/9/15,2.04E+00,2.40E+00,2.45E+00,2.04E+00,9.04M,-15.03%
