date,close,open,high,low,交易量,涨跌幅
2018/2/20,3.59E-02,4.30E-02,4.66E-02,3.53E-02,-,-16.52%
2018/2/21,2.87E-02,3.59E-02,3.72E-02,2.77E-02,-,-20.03%
2018/2/22,2.70E-02,2.87E-02,3.21E-02,2.60E-02,-,-5.90%
2018/2/23,2.79E-02,2.70E-02,3.02E-02,2.64E-02,-,3.38%
2018/2/24,2.75E-02,2.79E-02,2.97E-02,2.40E-02,-,-1.33%
2018/2/25,2.53E-02,2.75E-02,2.75E-02,2.37E-02,-,-8.02%
2018/2/26,3.14E-02,2.54E-02,3.18E-02,2.52E-02,-,24.11%
2018/2/27,3.13E-02,3.15E-02,3.30E-02,2.91E-02,-,-0.53%
2018/2/28,2.99E-02,3.12E-02,3.49E-02,2.93E-02,-,-4.30%
2018/3/1,3.11E-02,2.99E-02,3.28E-02,2.96E-02,-,3.86%
2018/3/2,3.14E-02,3.11E-02,3.18E-02,2.86E-02,-,1.01%
2018/3/3,3.03E-02,3.14E-02,3.28E-02,2.81E-02,-,-3.50%
2018/3/4,2.82E-02,3.03E-02,3.14E-02,2.82E-02,-,-6.96%
2018/3/5,2.93E-02,2.82E-02,2.98E-02,2.66E-02,-,3.90%
2018/3/6,2.63E-02,2.90E-02,3.10E-02,2.52E-02,-,-10.32%
2018/3/7,2.12E-02,2.63E-02,2.67E-02,1.85E-02,-,-19.18%
2018/3/8,1.91E-02,2.13E-02,2.17E-02,1.85E-02,-,-10.24%
2018/3/9,1.71E-02,1.91E-02,1.93E-02,1.47E-02,-,-10.50%
2018/3/10,1.62E-02,1.71E-02,1.85E-02,1.54E-02,-,-4.99%
2018/3/11,1.76E-02,1.62E-02,1.85E-02,1.56E-02,-,8.55%
2018/3/12,2.60E-02,1.76E-02,3.19E-02,1.73E-02,-,47.64%
2018/3/13,2.51E-02,2.60E-02,2.73E-02,2.30E-02,-,-3.27%
2018/3/14,2.01E-02,2.51E-02,2.57E-02,1.86E-02,-,-20.03%
2018/3/15,1.94E-02,2.00E-02,2.02E-02,1.79E-02,-,-3.49%
2018/3/16,2.11E-02,1.94E-02,2.30E-02,1.78E-02,-,9.05%
2018/3/17,1.93E-02,2.10E-02,2.19E-02,1.90E-02,-,-8.76%
2018/3/18,1.76E-02,1.92E-02,1.93E-02,1.57E-02,-,-8.53%
2018/3/19,1.94E-02,1.77E-02,1.96E-02,1.77E-02,-,9.66%
2018/3/20,1.96E-02,1.93E-02,1.99E-02,1.82E-02,-,1.19%
2018/3/21,2.71E-02,1.96E-02,2.72E-02,1.93E-02,-,38.65%
2018/3/22,2.57E-02,2.71E-02,2.95E-02,2.35E-02,-,-5.28%
2018/3/23,5.96E-02,2.57E-02,7.18E-02,2.29E-02,-,131.95%
2018/3/24,5.06E-02,6.02E-02,6.83E-02,4.75E-02,-,-15.24%
2018/3/25,5.03E-02,5.07E-02,5.51E-02,4.62E-02,-,-0.52%
2018/3/26,4.43E-02,5.02E-02,5.13E-02,3.84E-02,-,-11.95%
2018/3/27,3.77E-02,4.44E-02,4.46E-02,3.68E-02,-,-14.90%
2018/3/28,4.04E-02,3.77E-02,4.88E-02,3.68E-02,-,7.29%
2018/3/29,3.65E-02,4.05E-02,4.17E-02,3.48E-02,-,-9.82%
2018/3/30,3.56E-02,3.65E-02,3.88E-02,3.38E-02,-,-2.31%
2018/3/31,3.36E-02,3.56E-02,3.76E-02,3.34E-02,-,-5.74%
2018/4/1,3.03E-02,3.36E-02,3.40E-02,2.70E-02,-,-9.75%
2018/4/2,3.14E-02,3.03E-02,3.14E-02,2.84E-02,-,3.56%
2018/4/3,3.14E-02,3.14E-02,3.25E-02,2.97E-02,-,0.20%
2018/4/4,3.02E-02,3.15E-02,3.51E-02,2.80E-02,-,-3.98%
2018/4/5,2.84E-02,3.02E-02,3.07E-02,2.70E-02,-,-5.94%
2018/4/6,2.67E-02,2.84E-02,2.90E-02,2.57E-02,-,-5.81%
2018/4/7,2.76E-02,2.68E-02,2.86E-02,2.67E-02,-,3.03%
2018/4/8,2.98E-02,2.76E-02,3.06E-02,2.73E-02,-,8.17%
2018/4/9,2.81E-02,2.99E-02,3.04E-02,2.65E-02,-,-5.84%
2018/4/10,2.84E-02,2.81E-02,2.86E-02,2.72E-02,-,1.09%
2018/4/11,3.02E-02,2.84E-02,3.15E-02,2.60E-02,-,6.53%
2018/4/12,3.37E-02,3.02E-02,3.39E-02,2.87E-02,-,11.39%
2018/4/13,3.39E-02,3.37E-02,3.55E-02,3.29E-02,-,0.61%
2018/4/14,3.56E-02,3.43E-02,3.59E-02,3.40E-02,-,5.08%
2018/4/15,3.89E-02,3.56E-02,3.92E-02,3.56E-02,-,9.25%
2018/4/16,3.58E-02,3.89E-02,3.91E-02,3.52E-02,-,-7.94%
2018/4/17,3.51E-02,3.59E-02,3.71E-02,3.50E-02,-,-1.99%
2018/4/18,3.96E-02,3.51E-02,4.02E-02,3.50E-02,-,12.72%
2018/4/19,4.06E-02,3.96E-02,4.11E-02,3.93E-02,-,2.66%
2018/4/20,4.83E-02,4.01E-02,4.87E-02,4.00E-02,-,18.96%
2018/4/21,5.70E-02,4.83E-02,5.97E-02,4.82E-02,-,17.99%
2018/4/22,5.32E-02,5.71E-02,5.88E-02,5.25E-02,-,-6.58%
2018/4/23,5.45E-02,5.32E-02,5.54E-02,5.18E-02,-,2.37%
2018/4/24,6.42E-02,5.45E-02,6.73E-02,5.42E-02,-,17.75%
2018/4/25,6.16E-02,6.42E-02,7.08E-02,5.97E-02,-,-4.02%
2018/4/26,6.40E-02,6.15E-02,6.50E-02,5.79E-02,-,3.94%
2018/4/27,6.20E-02,6.40E-02,6.72E-02,6.12E-02,-,-3.16%
2018/4/28,6.55E-02,6.20E-02,6.83E-02,6.14E-02,-,5.59%
2018/4/29,6.62E-02,6.54E-02,6.86E-02,6.12E-02,-,1.13%
2018/4/30,6.41E-02,6.63E-02,6.84E-02,6.29E-02,-,-3.18%
2018/5/1,6.48E-02,6.42E-02,6.51E-02,6.13E-02,-,1.12%
2018/5/2,6.60E-02,6.49E-02,6.72E-02,6.35E-02,-,1.87%
2018/5/3,6.30E-02,6.61E-02,6.70E-02,6.30E-02,-,-4.61%
2018/5/4,6.22E-02,6.29E-02,6.56E-02,5.97E-02,-,-1.22%
2018/5/5,6.21E-02,6.21E-02,6.37E-02,5.91E-02,-,-0.17%
2018/5/6,5.75E-02,6.21E-02,6.36E-02,5.51E-02,-,-7.44%
2018/5/7,5.48E-02,5.75E-02,5.77E-02,5.24E-02,-,-4.61%
2018/5/8,5.42E-02,5.47E-02,5.70E-02,6.00E-06,-,-1.12%
2018/5/9,5.17E-02,5.46E-02,5.47E-02,5.01E-02,-,-4.62%
2018/5/10,4.64E-02,5.17E-02,5.21E-02,4.64E-02,-,-10.19%
2018/5/11,3.90E-02,4.64E-02,4.64E-02,3.71E-02,-,-15.98%
2018/5/12,4.01E-02,3.91E-02,4.19E-02,3.59E-02,-,2.88%
2018/5/13,4.47E-02,4.02E-02,4.55E-02,3.97E-02,-,11.39%
2018/5/14,4.38E-02,4.47E-02,4.74E-02,4.22E-02,-,-2.13%
2018/5/15,4.70E-02,4.38E-02,5.43E-02,4.20E-02,-,7.35%
2018/5/16,4.30E-02,4.70E-02,4.70E-02,4.17E-02,-,-8.58%
2018/5/17,4.23E-02,4.30E-02,4.70E-02,4.20E-02,-,-1.42%
2018/5/18,4.41E-02,4.23E-02,4.77E-02,4.17E-02,-,4.09%
2018/5/19,4.41E-02,4.41E-02,4.45E-02,4.28E-02,-,0.01%
2018/5/20,4.47E-02,4.36E-02,4.56E-02,4.31E-02,-,1.50%
2018/5/21,4.41E-02,4.47E-02,4.65E-02,4.28E-02,-,-1.50%
2018/5/22,3.91E-02,4.41E-02,4.41E-02,3.86E-02,-,-11.28%
2018/5/23,3.42E-02,3.91E-02,3.93E-02,3.31E-02,-,-12.62%
2018/5/24,3.52E-02,3.41E-02,3.62E-02,3.09E-02,-,3.07%
2018/5/25,3.32E-02,3.52E-02,3.55E-02,3.26E-02,-,-5.75%
2018/5/26,3.33E-02,3.32E-02,3.44E-02,3.28E-02,-,0.46%
2018/5/27,3.19E-02,3.33E-02,3.33E-02,3.15E-02,-,-4.24%
2018/5/28,2.88E-02,3.19E-02,3.21E-02,2.86E-02,-,-9.94%
2018/5/29,3.21E-02,2.88E-02,3.24E-02,2.85E-02,-,11.51%
2018/5/30,3.21E-02,3.21E-02,3.36E-02,3.03E-02,-,0.06%
2018/5/31,3.29E-02,3.21E-02,3.38E-02,3.17E-02,-,2.68%
2018/6/1,3.23E-02,3.29E-02,3.34E-02,3.09E-02,-,-1.82%
2018/6/2,3.40E-02,3.24E-02,3.48E-02,3.22E-02,-,5.10%
2018/6/3,3.43E-02,3.40E-02,3.54E-02,3.38E-02,-,1.05%
2018/6/4,3.26E-02,3.44E-02,3.48E-02,3.24E-02,-,-5.08%
2018/6/5,3.24E-02,3.26E-02,3.34E-02,3.06E-02,-,-0.64%
2018/6/6,3.25E-02,3.24E-02,3.27E-02,3.17E-02,-,0.42%
2018/6/7,3.11E-02,3.25E-02,3.30E-02,3.10E-02,-,-4.27%
2018/6/8,3.08E-02,3.11E-02,3.19E-02,3.06E-02,-,-0.96%
2018/6/9,2.96E-02,3.08E-02,3.11E-02,2.95E-02,-,-3.99%
2018/6/10,2.50E-02,2.96E-02,2.96E-02,2.44E-02,-,-15.66%
2018/6/11,2.47E-02,2.50E-02,2.54E-02,2.31E-02,-,-0.92%
2018/6/12,2.19E-02,2.47E-02,2.50E-02,2.17E-02,-,-11.43%
2018/6/13,2.04E-02,2.22E-02,2.26E-02,1.93E-02,-,-6.71%
2018/6/14,2.29E-02,2.05E-02,2.30E-02,2.04E-02,-,11.85%
2018/6/15,2.14E-02,2.29E-02,2.35E-02,2.12E-02,-,-6.52%
2018/6/16,2.17E-02,2.14E-02,2.19E-02,2.12E-02,-,1.63%
2018/6/17,2.12E-02,2.17E-02,2.20E-02,2.10E-02,-,-2.22%
2018/6/18,2.18E-02,2.13E-02,2.23E-02,2.02E-02,-,2.64%
2018/6/19,2.26E-02,2.18E-02,2.29E-02,2.17E-02,-,3.55%
2018/6/20,2.23E-02,2.26E-02,2.26E-02,2.07E-02,-,-1.20%
2018/6/21,2.11E-02,2.20E-02,2.27E-02,2.11E-02,-,-5.21%
2018/6/22,1.75E-02,2.11E-02,2.12E-02,1.71E-02,-,-17.14%
2018/6/23,1.75E-02,1.75E-02,1.87E-02,1.65E-02,-,0.06%
2018/6/24,1.63E-02,1.76E-02,1.76E-02,1.49E-02,-,-7.08%
2018/6/25,1.66E-02,1.69E-02,1.70E-02,1.55E-02,-,1.60%
2018/6/26,1.55E-02,1.66E-02,1.66E-02,1.54E-02,-,-6.26%
2018/6/27,1.56E-02,1.55E-02,1.58E-02,1.49E-02,-,0.78%
2018/6/28,1.49E-02,1.56E-02,1.61E-02,1.49E-02,-,-4.47%
2018/6/29,1.52E-02,1.49E-02,1.54E-02,1.43E-02,-,1.81%
2018/6/30,1.76E-02,1.52E-02,1.94E-02,1.52E-02,-,15.56%
2018/7/1,1.87E-02,1.76E-02,1.95E-02,1.66E-02,-,6.57%
2018/7/2,1.95E-02,1.87E-02,2.08E-02,0.00E+00,-,4.22%
2018/7/3,1.92E-02,1.95E-02,2.03E-02,2.57E-04,-,-1.78%
2018/7/4,2.04E-02,1.92E-02,2.11E-02,1.83E-02,-,6.54%
2018/7/5,1.93E-02,2.04E-02,2.09E-02,1.91E-02,-,-5.56%
2018/7/6,2.05E-02,1.93E-02,2.22E-02,1.78E-02,-,6.07%
2018/7/7,1.96E-02,2.05E-02,2.05E-02,1.86E-02,-,-4.18%
2018/7/8,1.95E-02,1.96E-02,2.09E-02,1.91E-02,-,-0.80%
2018/7/9,1.90E-02,1.94E-02,1.98E-02,1.89E-02,-,-2.43%
2018/7/10,1.61E-02,1.90E-02,1.90E-02,1.49E-02,-,-15.35%
2018/7/11,1.66E-02,1.61E-02,1.69E-02,1.58E-02,-,3.21%
2018/7/12,1.56E-02,1.66E-02,1.66E-02,1.49E-02,-,-6.05%
2018/7/13,1.59E-02,1.56E-02,1.61E-02,1.56E-02,-,1.82%
2018/7/14,1.59E-02,1.59E-02,1.61E-02,1.58E-02,-,0.48%
2018/7/15,1.59E-02,1.59E-02,1.63E-02,1.59E-02,-,-0.45%
2018/7/16,1.72E-02,1.59E-02,1.74E-02,1.58E-02,-,8.26%
2018/7/17,1.98E-02,1.71E-02,2.03E-02,1.71E-02,-,15.06%
2018/7/18,1.95E-02,1.98E-02,2.14E-02,1.90E-02,-,-1.23%
2018/7/19,1.94E-02,1.96E-02,2.02E-02,1.88E-02,-,-0.46%
2018/7/20,1.72E-02,1.94E-02,1.94E-02,1.71E-02,-,-11.32%
2018/7/21,1.74E-02,1.72E-02,1.75E-02,1.62E-02,-,0.97%
2018/7/22,1.74E-02,1.74E-02,1.84E-02,1.73E-02,-,-0.03%
2018/7/23,1.66E-02,1.74E-02,1.81E-02,1.65E-02,-,-4.65%
2018/7/24,1.72E-02,1.66E-02,1.79E-02,1.58E-02,-,3.99%
2018/7/25,1.59E-02,1.72E-02,1.79E-02,1.36E-02,-,-7.54%
2018/7/26,1.69E-02,1.60E-02,1.69E-02,1.52E-02,-,6.00%
2018/7/27,1.65E-02,1.69E-02,1.69E-02,1.61E-02,-,-2.44%
2018/7/28,1.65E-02,1.65E-02,1.69E-02,1.61E-02,-,0.00%
2018/7/29,1.69E-02,1.65E-02,1.70E-02,1.60E-02,-,2.20%
2018/7/30,1.55E-02,1.69E-02,1.76E-02,1.51E-02,-,-7.89%
2018/7/31,1.47E-02,1.55E-02,1.59E-02,1.42E-02,-,-5.22%
2018/8/1,1.45E-02,1.47E-02,1.49E-02,1.38E-02,-,-1.75%
2018/8/2,1.32E-02,1.45E-02,1.46E-02,1.31E-02,-,-8.79%
2018/8/3,1.26E-02,1.32E-02,1.32E-02,1.20E-02,-,-4.39%
2018/8/4,1.19E-02,1.26E-02,1.27E-02,1.14E-02,-,-5.53%
2018/8/5,1.20E-02,1.19E-02,1.31E-02,1.14E-02,-,0.38%
2018/8/6,1.14E-02,1.19E-02,1.31E-02,1.14E-02,-,-4.25%
2018/8/7,1.11E-02,1.15E-02,1.25E-02,1.10E-02,-,-3.17%
2018/8/8,9.10E-03,1.11E-02,1.11E-02,8.89E-03,-,-17.88%
2018/8/9,9.79E-03,9.10E-03,1.02E-02,8.98E-03,-,7.58%
2018/8/10,8.91E-03,9.82E-03,1.02E-02,8.73E-03,-,-9.04%
2018/8/11,8.40E-03,8.91E-03,8.95E-03,8.20E-03,-,-5.69%
2018/8/12,8.52E-03,8.41E-03,8.71E-03,7.90E-03,-,1.45%
2018/8/13,7.50E-03,8.52E-03,8.82E-03,7.22E-03,-,-11.98%
2018/8/14,6.50E-03,7.49E-03,7.49E-03,6.18E-03,-,-13.42%
2018/8/15,6.90E-03,6.50E-03,7.61E-03,6.50E-03,-,6.19%
2018/8/16,7.26E-03,6.89E-03,7.69E-03,6.85E-03,-,5.24%
2018/8/17,8.57E-03,7.25E-03,8.57E-03,7.24E-03,-,18.01%
2018/8/18,8.63E-03,8.56E-03,9.92E-03,7.88E-03,-,0.72%
2018/8/19,8.76E-03,8.63E-03,9.37E-03,8.28E-03,-,1.48%
2018/8/20,7.82E-03,8.75E-03,9.13E-03,7.82E-03,-,-10.69%
2018/8/21,8.42E-03,7.82E-03,8.42E-03,7.81E-03,-,7.72%
2018/8/22,7.94E-03,8.43E-03,8.89E-03,7.63E-03,-,-5.69%
2018/8/23,8.16E-03,7.95E-03,8.21E-03,7.33E-03,-,2.71%
2018/8/24,8.03E-03,8.17E-03,8.37E-03,7.47E-03,-,-1.54%
2018/8/25,8.09E-03,8.04E-03,8.45E-03,7.67E-03,-,0.67%
2018/8/26,8.39E-03,8.08E-03,8.40E-03,7.60E-03,-,3.69%
2018/8/27,8.97E-03,8.37E-03,9.12E-03,8.32E-03,-,7.02%
2018/8/28,9.56E-03,8.98E-03,9.62E-03,8.61E-03,-,6.48%
2018/8/29,8.81E-03,9.56E-03,9.56E-03,8.68E-03,-,-7.83%
2018/8/30,8.74E-03,8.80E-03,8.83E-03,7.87E-03,-,-0.74%
2018/8/31,8.78E-03,8.73E-03,8.86E-03,8.34E-03,-,0.46%
2018/9/1,9.72E-03,8.78E-03,9.80E-03,8.78E-03,-,10.63%
2018/9/2,9.11E-03,9.72E-03,9.92E-03,8.98E-03,-,-6.21%
2018/9/3,1.02E-02,9.11E-03,1.06E-02,9.02E-03,-,11.69%
2018/9/4,9.57E-03,1.02E-02,1.06E-02,9.55E-03,-,-6.01%
2018/9/5,8.05E-03,9.57E-03,9.98E-03,7.96E-03,-,-15.91%
2018/9/6,8.14E-03,8.05E-03,8.17E-03,7.26E-03,-,1.21%
2018/9/7,7.37E-03,8.15E-03,8.17E-03,7.27E-03,-,-9.55%
2018/9/8,7.11E-03,7.37E-03,7.45E-03,7.06E-03,-,-3.42%
2018/9/9,6.55E-03,7.11E-03,7.38E-03,6.48E-03,-,-7.89%
2018/9/10,6.62E-03,6.56E-03,7.24E-03,6.55E-03,-,1.10%
2018/9/11,6.60E-03,6.62E-03,6.70E-03,6.49E-03,-,-0.29%
2018/9/12,6.34E-03,6.61E-03,6.67E-03,5.91E-03,-,-4.05%
2018/9/13,6.80E-03,6.34E-03,6.85E-03,6.05E-03,-,7.30%
2018/9/14,6.81E-03,6.80E-03,6.92E-03,6.43E-03,-,0.18%
2018/9/15,6.85E-03,6.80E-03,6.90E-03,6.80E-03,-,0.51%
2018/9/16,7.80E-03,6.84E-03,8.13E-03,6.70E-03,-,13.91%
2018/9/17,7.19E-03,7.80E-03,8.15E-03,7.15E-03,-,-7.76%
2018/9/18,7.29E-03,7.19E-03,7.92E-03,5.97E-03,-,1.41%
2018/9/19,7.35E-03,7.29E-03,7.44E-03,7.03E-03,-,0.77%
2018/9/20,7.48E-03,7.35E-03,7.50E-03,7.00E-03,-,1.70%
2018/9/21,7.79E-03,7.48E-03,8.47E-03,7.20E-03,-,4.18%
2018/9/22,7.73E-03,7.78E-03,7.87E-03,7.64E-03,-,-0.71%
2018/9/23,8.05E-03,7.73E-03,8.40E-03,7.67E-03,-,4.14%
2018/9/24,7.90E-03,8.05E-03,8.40E-03,7.58E-03,-,-1.88%
2018/9/25,8.04E-03,7.90E-03,8.37E-03,7.33E-03,-,1.79%
2018/9/26,7.76E-03,8.05E-03,8.19E-03,7.44E-03,-,-3.59%
2018/9/27,8.03E-03,7.76E-03,8.41E-03,7.43E-03,-,3.51%
2018/9/28,7.63E-03,8.04E-03,8.50E-03,7.53E-03,-,-4.94%
2018/9/29,8.26E-03,7.63E-03,8.29E-03,7.47E-03,-,8.20%
2018/9/30,8.27E-03,8.26E-03,8.32E-03,8.17E-03,-,0.22%
2018/10/1,8.25E-03,8.27E-03,8.32E-03,8.15E-03,-,-0.27%
2018/10/2,8.17E-03,8.25E-03,8.29E-03,8.14E-03,-,-0.95%
2018/10/3,8.13E-03,8.16E-03,8.19E-03,8.04E-03,-,-0.54%
2018/10/4,8.23E-03,8.13E-03,8.29E-03,7.58E-03,-,1.18%
2018/10/5,8.31E-03,8.23E-03,8.92E-03,8.19E-03,-,0.98%
2018/10/6,8.90E-03,8.31E-03,8.94E-03,8.24E-03,-,7.14%
2018/10/7,8.58E-03,8.90E-03,8.92E-03,8.21E-03,-,-3.57%
2018/10/8,8.68E-03,8.58E-03,9.04E-03,8.33E-03,-,1.10%
2018/10/9,8.66E-03,8.68E-03,9.01E-03,8.26E-03,-,-0.15%
2018/10/10,8.62E-03,8.66E-03,8.66E-03,8.16E-03,-,-0.50%
2018/10/11,7.51E-03,8.62E-03,8.62E-03,7.20E-03,-,-12.91%
2018/10/12,7.24E-03,7.50E-03,7.53E-03,6.91E-03,-,-3.53%
2018/10/13,7.28E-03,7.24E-03,7.28E-03,7.23E-03,-,0.47%
2018/10/14,7.28E-03,7.28E-03,8.00E-03,6.65E-03,-,0.11%
2018/10/15,7.75E-03,7.29E-03,8.65E-03,6.96E-03,-,6.45%
2018/10/16,7.77E-03,7.75E-03,7.93E-03,7.68E-03,-,0.24%
2018/10/17,8.42E-03,7.77E-03,8.43E-03,6.74E-03,-,8.32%
2018/10/18,7.61E-03,8.42E-03,8.43E-03,7.55E-03,-,-9.66%
2018/10/19,7.51E-03,7.61E-03,7.92E-03,7.50E-03,-,-1.30%
2018/10/20,7.90E-03,7.51E-03,8.24E-03,7.49E-03,-,5.28%
2018/10/21,8.56E-03,7.90E-03,8.98E-03,7.90E-03,-,8.37%
2018/10/22,8.21E-03,8.57E-03,8.62E-03,8.19E-03,-,-4.15%
2018/10/23,8.84E-03,8.21E-03,8.89E-03,8.17E-03,-,7.72%
2018/10/24,9.83E-03,8.84E-03,1.02E-02,8.26E-03,-,11.18%
2018/10/25,9.47E-03,9.83E-03,1.08E-02,9.44E-03,-,-3.72%
2018/10/26,9.47E-03,9.47E-03,1.01E-02,9.45E-03,-,0.05%
2018/10/27,8.78E-03,9.47E-03,9.50E-03,8.75E-03,-,-7.34%
2018/10/28,9.41E-03,8.78E-03,9.43E-03,8.74E-03,-,7.24%
2018/10/29,9.20E-03,9.41E-03,1.01E-02,9.19E-03,-,-2.25%
2018/10/30,9.81E-03,9.20E-03,1.05E-02,9.20E-03,-,6.66%
2018/10/31,9.87E-03,9.81E-03,1.04E-02,9.69E-03,-,0.61%
2018/11/1,9.92E-03,9.87E-03,9.96E-03,9.85E-03,-,0.50%
2018/11/2,9.96E-03,9.92E-03,1.00E-02,9.91E-03,-,0.42%
2018/11/3,9.90E-03,9.96E-03,9.97E-03,9.82E-03,-,-0.61%
2018/11/4,9.40E-03,9.90E-03,9.94E-03,9.36E-03,-,-5.03%
2018/11/5,8.74E-03,9.40E-03,9.42E-03,8.69E-03,-,-7.11%
2018/11/6,9.45E-03,8.74E-03,9.45E-03,8.72E-03,-,8.16%
2018/11/7,9.20E-03,9.45E-03,9.58E-03,8.88E-03,-,-2.60%
2018/11/8,8.75E-03,9.20E-03,9.22E-03,8.74E-03,-,-4.94%
2018/11/9,8.67E-03,8.75E-03,8.78E-03,8.63E-03,-,-0.92%
2018/11/10,8.68E-03,8.67E-03,8.72E-03,8.66E-03,-,0.17%
2018/11/11,8.08E-03,8.68E-03,8.71E-03,8.00E-03,-,-6.99%
2018/11/12,8.06E-03,8.06E-03,8.42E-03,8.02E-03,-,-0.20%
2018/11/13,8.08E-03,8.06E-03,8.73E-03,8.00E-03,-,0.27%
2018/11/14,6.77E-03,8.07E-03,8.11E-03,6.56E-03,-,-16.25%
2018/11/15,6.61E-03,6.81E-03,6.82E-03,5.71E-03,-,-2.26%
2018/11/16,5.94E-03,6.61E-03,6.62E-03,5.83E-03,-,-10.14%
2018/11/17,5.91E-03,5.94E-03,6.51E-03,5.85E-03,-,-0.60%
2018/11/18,6.51E-03,5.91E-03,6.57E-03,5.91E-03,-,10.16%
