date,close,open,high,low,交易量,涨跌幅
2019/10/11,1.8,1.71,1.83,1.69,59.94K,5.32%
2019/10/12,1.81,1.8,1.83,1.8,243.45K,0.81%
2019/10/13,1.92,1.81,1.94,1.81,89.44K,6.33%
2019/10/14,1.93,1.92,1.93,1.9,32.88K,0.00%
2019/10/15,2.02,1.93,2.02,1.91,13.11K,4.53%
2019/10/16,2,2.02,2.02,1.95,17.66K,-0.79%
2019/10/17,2,2,2,1.95,0.36K,0.00%
2019/10/18,1.96,2,2,1.95,1.38K,-2.00%
2019/10/19,1.97,1.96,1.99,1.95,0.21K,0.27%
2019/10/20,2.11,1.96,2.11,1.96,20.19K,7.12%
2019/10/21,2.11,2.11,2.12,2.1,402.55K,0.00%
2019/10/22,2.05,2.11,2.12,2.04,232.87K,-2.86%
2019/10/23,1.93,2.05,2.07,1.89,23.88K,-5.71%
2019/10/24,1.79,1.93,1.93,1.67,7.37K,-7.33%
2019/10/25,1.79,1.79,1.79,1.75,4.94K,0.00%
2019/10/26,1.63,1.79,1.79,1.52,15.47K,-8.82%
2019/10/27,1.52,1.64,1.66,1.52,99.24K,-6.79%
2019/10/28,1.5,1.52,1.68,1.43,110.50K,-1.51%
2019/10/29,1.24,1.48,1.48,1,10.00K,-17.18%
2019/10/30,0.83,1.23,1.26,0.76,11.06K,-33.13%
2019/10/31,1.01,0.83,1.06,0.79,2.33K,22.22%
2019/11/1,0.96,1.01,1.05,0.94,1.96K,-5.02%
2019/11/2,1.04,0.96,1.18,0.89,2.70K,7.61%
2019/11/3,1.02,1.01,1.04,0.9,3.06K,-1.21%
2019/11/4,1,1.02,1.1,0.96,1.78K,-2.35%
2019/11/5,1.08,1,1.1,0.97,0.71K,7.78%
2019/11/6,1.22,1.09,1.24,1.07,3.94K,13.34%
2019/11/7,1.17,1.22,1.22,1.17,1.28K,-3.85%
2019/11/8,1.29,1.17,1.3,1.17,3.14K,9.79%
2019/11/9,1.29,1.29,1.3,1.28,24.85K,0.00%
2019/11/10,1.33,1.29,1.35,1.28,26.45K,3.29%
2019/11/11,1.28,1.35,1.35,1.28,22.31K,-3.69%
2019/11/12,1.31,1.28,1.31,1.28,249.37K,1.84%
2019/11/13,1.31,1.31,1.31,1.29,355.13K,0.00%
2019/11/14,1.27,1.31,1.31,1.27,184.16K,-2.65%
2019/11/15,1.27,1.27,1.3,1.27,4.15K,0.00%
2019/11/16,1.31,1.27,1.34,1.25,26.53K,3.01%
2019/11/17,1.31,1.31,1.34,1.31,67.82K,0.00%
2019/11/18,1.27,1.31,1.33,1.27,193.57K,-3.11%
2019/11/19,1.22,1.27,1.27,1.19,0.10K,-4.01%
2019/11/20,1.21,1.22,1.24,1.21,0.06K,-0.67%
2019/11/21,1.14,1.21,1.21,1.11,0.27K,-6.04%
2019/11/22,1.11,1.14,1.19,1.06,0.71K,-2.59%
2019/11/23,1.19,1.11,1.2,1.1,2.04K,7.25%
2019/11/24,1.12,1.19,1.19,1.1,0.73K,-6.14%
2019/11/25,1.11,1.12,1.15,1.07,0.71K,-0.76%
2019/11/26,1.1,1.11,1.16,1.07,153.43K,-0.87%
2019/11/27,1.16,1.1,1.2,1.08,80.03K,5.22%
2019/11/28,1.18,1.16,1.2,1.16,203.42K,1.72%
2019/11/29,1.19,1.18,1.2,1.12,170.68K,1.34%
2019/11/30,1.2,1.19,1.2,1.17,301.59K,0.54%
2019/12/1,1.17,1.2,1.2,1.16,59.82K,-2.47%
2019/12/2,1.17,1.17,1.17,1.15,55.52K,0.00%
2019/12/3,1.12,1.17,1.18,1.12,61.12K,-3.94%
2019/12/4,1.14,1.12,1.16,1.12,66.87K,1.58%
2019/12/5,1.15,1.14,1.15,1.12,0.92K,0.70%
2019/12/6,1.13,1.15,1.15,1.13,78.61K,-1.46%
2019/12/7,1.13,1.13,1.14,1.06,84.62K,0.00%
2019/12/8,1.14,1.13,1.14,1.13,89.22K,0.93%
2019/12/9,1.13,1.14,1.14,1.12,0.05K,-1.18%
2019/12/10,1.11,1.13,1.13,1.1,0.44K,-1.52%
2019/12/11,1.1,1.11,1.12,1.1,0.05K,-0.82%
2019/12/12,1.09,1.1,1.12,1.09,0.11K,-1.03%
2019/12/13,1.12,1.09,1.13,1.09,6.67K,3.18%
2019/12/14,1.07,1.12,1.12,1.07,1.70K,-4.79%
2019/12/15,1.09,1.07,1.1,1.07,21.07K,1.79%
2019/12/16,1.07,1.09,1.1,1.05,48.03K,-2.11%
2019/12/17,1.02,1.07,1.07,1.01,1.17K,-4.54%
2019/12/18,1.08,1.02,1.08,0.86,32.21K,5.93%
2019/12/19,1.1,1.08,1.14,1.07,65.59K,1.98%
2019/12/20,1.11,1.1,1.13,1.09,10.52K,0.93%
2019/12/21,1.09,1.11,1.12,1.03,20.72K,-1.87%
2019/12/22,1.09,1.09,1.09,1.06,0.34K,0.00%
2019/12/23,1.11,1.09,1.16,1.08,83.54K,1.71%
2019/12/24,1.08,1.11,1.11,1.08,14.50K,-2.60%
2019/12/25,1.11,1.08,1.13,1.04,20.49K,2.84%
2019/12/26,1.12,1.11,1.16,1.1,10.12K,0.92%
2019/12/27,1.11,1.12,1.13,1.1,12.85K,-1.07%
2019/12/28,1.12,1.11,1.16,1.08,15.37K,1.11%
2019/12/29,1.09,1.12,1.12,1.09,21.89K,-2.76%
2019/12/30,1.09,1.09,1.12,1.09,6.28K,0.00%
2019/12/31,1.22,1.09,1.22,1.08,21.50K,12.17%
