date,close,open,high,low,volume,涨跌幅
2015/1/22,1.60E-02,1.52E-02,1.75E-02,1.52E-02,-,5.19%
2015/1/23,1.60E-02,1.60E-02,1.70E-02,1.60E-02,-,-0.12%
2015/1/24,1.74E-02,1.60E-02,1.74E-02,1.50E-02,-,8.69%
2015/1/25,1.70E-02,1.74E-02,1.74E-02,1.56E-02,-,-2.24%
2015/1/26,1.47E-02,1.70E-02,1.75E-02,1.47E-02,-,-13.59%
2015/1/27,1.55E-02,1.47E-02,1.70E-02,1.47E-02,-,5.51%
2015/1/28,1.50E-02,1.55E-02,1.67E-02,1.31E-02,-,-3.23%
2015/1/29,1.35E-02,1.50E-02,1.50E-02,1.31E-02,-,-10.00%
2015/1/30,1.50E-02,1.35E-02,1.50E-02,1.35E-02,1.02K,11.11%
2015/1/31,1.50E-02,1.50E-02,1.50E-02,1.35E-02,1.22K,-0.07%
2015/2/1,1.35E-02,1.50E-02,1.50E-02,1.35E-02,0.10K,-9.81%
2015/2/2,1.33E-02,1.50E-02,1.50E-02,1.33E-02,-,-1.85%
2015/2/3,1.48E-02,1.33E-02,1.50E-02,1.33E-02,-,11.53%
2015/2/4,1.40E-02,1.48E-02,1.48E-02,1.40E-02,-,-5.41%
2015/2/5,1.57E-02,1.40E-02,1.57E-02,1.30E-02,-,12.36%
2015/2/6,1.55E-02,1.57E-02,1.70E-02,1.40E-02,0.34K,-1.46%
2015/2/7,1.47E-02,1.55E-02,1.55E-02,1.40E-02,0.22K,-5.29%
2015/2/8,1.43E-02,1.47E-02,1.51E-02,1.43E-02,-,-2.72%
2015/2/9,1.35E-02,1.43E-02,1.47E-02,1.35E-02,-,-5.46%
2015/2/10,1.46E-02,1.35E-02,1.47E-02,1.10E-02,-,8.44%
2015/2/11,1.46E-02,1.46E-02,1.46E-02,1.10E-02,-,-0.14%
2015/2/12,1.43E-02,1.46E-02,1.46E-02,1.10E-02,-,-2.19%
2015/2/13,1.45E-02,1.43E-02,1.47E-02,1.20E-02,-,1.05%
2015/2/14,1.20E-02,1.45E-02,1.51E-02,1.20E-02,-,-16.96%
2015/2/15,1.20E-02,1.20E-02,1.20E-02,1.20E-02,-,0.00%
2015/2/16,1.51E-02,1.51E-02,1.51E-02,1.20E-02,-,25.67%
2015/2/17,1.30E-02,1.51E-02,1.51E-02,1.20E-02,-,-13.73%
2015/2/18,1.50E-02,1.30E-02,1.50E-02,1.30E-02,-,15.22%
2015/2/19,1.31E-02,1.50E-02,1.50E-02,1.31E-02,-,-12.81%
2015/2/20,1.31E-02,1.31E-02,1.50E-02,1.31E-02,-,0.00%
2015/2/21,1.31E-02,1.31E-02,1.41E-02,1.31E-02,0.00K,0.00%
2015/2/22,1.31E-02,1.31E-02,1.40E-02,1.31E-02,-,0.00%
2015/2/23,1.40E-02,1.31E-02,1.40E-02,1.31E-02,-,7.35%
2015/2/24,1.34E-02,1.40E-02,1.40E-02,1.31E-02,-,-4.28%
2015/2/25,1.40E-02,1.34E-02,1.40E-02,1.31E-02,-,4.24%
2015/2/26,1.30E-02,1.40E-02,1.40E-02,1.16E-02,0.04K,-7.14%
2015/2/27,1.21E-02,1.30E-02,1.40E-02,1.16E-02,-,-7.23%
2015/2/28,1.18E-02,1.21E-02,1.32E-02,1.16E-02,-,-2.32%
2015/3/1,1.10E-02,1.18E-02,1.35E-02,1.10E-02,-,-6.54%
2015/3/2,6.61E-03,1.10E-02,1.21E-02,6.61E-03,-,-39.95%
2015/3/3,8.50E-03,6.61E-03,1.21E-02,6.61E-03,56.02K,28.65%
2015/3/4,1.20E-02,8.50E-03,1.20E-02,8.43E-03,0.37K,41.09%
2015/3/5,1.20E-02,1.20E-02,1.20E-02,9.33E-03,4.58K,0.00%
2015/3/6,1.04E-02,1.20E-02,1.20E-02,9.23E-03,0.01K,-13.33%
2015/3/7,1.03E-02,1.04E-02,1.20E-02,1.03E-02,-,-0.96%
2015/3/8,9.78E-03,1.03E-02,1.10E-02,9.76E-03,-,-5.08%
2015/3/9,9.81E-03,9.82E-03,1.10E-02,9.80E-03,-,0.30%
2015/3/10,9.54E-03,9.81E-03,1.10E-02,8.83E-03,-,-2.75%
2015/3/11,7.70E-03,9.54E-03,1.09E-02,7.70E-03,0.18K,-19.25%
2015/3/12,1.08E-02,7.70E-03,1.09E-02,7.70E-03,-,40.52%
2015/3/13,1.07E-02,1.08E-02,1.08E-02,8.20E-03,-,-1.02%
2015/3/14,1.11E-02,1.07E-02,1.20E-02,1.02E-02,11.18K,3.83%
2015/3/15,1.06E-02,1.11E-02,1.17E-02,1.02E-02,-,-4.68%
2015/3/16,1.05E-02,1.06E-02,1.12E-02,1.02E-02,-,-0.57%
2015/3/17,1.05E-02,1.05E-02,1.12E-02,1.05E-02,0.00K,-0.09%
2015/3/18,1.02E-02,1.05E-02,1.50E-02,1.02E-02,-,-2.75%
2015/3/19,1.09E-02,1.02E-02,1.10E-02,7.90E-03,-,6.74%
2015/3/20,7.52E-03,1.09E-02,1.09E-02,7.50E-03,-,-31.24%
2015/3/21,1.01E-02,7.52E-03,1.02E-02,7.50E-03,-,34.53%
2015/3/22,1.00E-02,1.01E-02,1.02E-02,9.40E-03,-,-0.69%
2015/3/23,9.73E-03,1.00E-02,1.02E-02,9.73E-03,-,-3.11%
2015/3/24,9.94E-03,9.73E-03,9.95E-03,9.00E-03,-,2.20%
2015/3/25,9.20E-03,9.94E-03,9.94E-03,8.00E-03,-,-7.46%
2015/3/26,8.50E-03,9.20E-03,9.30E-03,8.50E-03,-,-7.61%
2015/3/27,8.75E-03,8.50E-03,8.80E-03,8.50E-03,-,2.94%
